F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
1000.000000	70850.000000	1000.000000	-4.900000
1122.018000	70560.000000	1122.018000	-4.850000
1258.925000	70280.000000	1258.925000	-4.790000
1412.537000	70020.000000	1412.537000	-4.820000
1584.893000	69750.000000	1584.893000	-4.810000
1778.279000	69360.000000	1778.279000	-4.930000
1995.262000	69240.000000	1995.262000	-4.980000
2238.721000	68940.000000	2238.721000	-5.090000
2511.886000	68650.000000	2511.886000	-5.250000
2818.382000	68380.000000	2818.382000	-5.410000
3162.277000	68060.000000	3162.277000	-5.630000
3548.133000	67730.000000	3548.133000	-5.840000
3981.071000	67510.000000	3981.071000	-6.120000
4466.835000	67280.000000	4466.835000	-6.440000
5011.872000	66980.000000	5011.872000	-6.810000
5623.413000	66710.000000	5623.413000	-7.220000
6309.573000	66390.000000	6309.573000	-7.640000
7079.457000	66040.000000	7079.457000	-8.140000
7943.282000	65930.000000	7943.282000	-8.740000
8912.509000	65530.000000	8912.509000	-9.360000
10000.000000	65080.000000	10000.000000	-10.030000
11220.180000	64550.000000	11220.180000	-10.750000
12589.250000	63980.000000	12589.250000	-11.530000
14125.370000	63320.000000	14125.370000	-12.330000
15848.930000	62050.000000	15848.930000	-12.840000
17782.790000	60830.000000	17782.790000	-14.020000
19952.620000	60110.000000	19952.620000	-15.120000
22387.210000	59310.000000	22387.210000	-16.290000
25118.860000	58430.000000	25118.860000	-17.570000
28183.820000	57510.000000	28183.820000	-18.940000
31622.770000	56480.000000	31622.770000	-20.430000
35481.330000	55390.000000	35481.330000	-22.040000
39810.710000	54110.000000	39810.710000	-23.590000
44668.350000	52480.000000	44668.350000	-25.370000
50118.720000	51120.000000	50118.720000	-27.310000
56234.130000	49620.000000	56234.130000	-29.370000
63095.730000	48030.000000	63095.730000	-31.510000
70794.570000	46290.000000	70794.570000	-33.750000
79432.820000	44430.000000	79432.820000	-36.020000
89125.090000	42490.000000	89125.090000	-38.420000
100000.000000	40500.000000	100000.000000	-40.930000
112201.800000	38420.000000	112201.800000	-43.450000
125892.500000	36270.000000	125892.500000	-45.940000
141253.700000	34050.000000	141253.700000	-48.350000
158489.300000	31870.000000	158489.300000	-50.860000
177827.900000	29670.000000	177827.900000	-53.300000
199526.200000	27510.000000	199526.200000	-55.600000
223872.100000	25410.000000	223872.100000	-57.790000
251188.600000	23400.000000	251188.600000	-59.900000
281838.200000	21480.000000	281838.200000	-61.940000
316227.700000	19650.000000	316227.700000	-63.840000
354813.300000	17940.000000	354813.300000	-65.620000
398107.100000	16340.000000	398107.100000	-67.290000
446683.500000	14860.000000	446683.500000	-68.870000
501187.200000	13480.000000	501187.200000	-70.320000
562341.300000	12210.000000	562341.300000	-71.660000
630957.300000	11050.000000	630957.300000	-72.890000
707945.700000	9955.000000	707945.700000	-74.020000
794328.200000	8990.000000	794328.200000	-75.070000
891250.900000	8109.000000	891250.900000	-76.040000
1000000.000000	7310.000000	1000000.000000	-76.940000
1122018.000000	6586.000000	1122018.000000	-77.760000
1258925.000000	5930.000000	1258925.000000	-78.520000
1412537.000000	5338.000000	1412537.000000	-79.210000
1584893.000000	4802.000000	1584893.000000	-79.850000
1778279.000000	4319.000000	1778279.000000	-80.430000
1995262.000000	3883.000000	1995262.000000	-80.970000
2238721.000000	3491.000000	2238721.000000	-81.450000
2511886.000000	3139.000000	2511886.000000	-81.890000
2818382.000000	2823.000000	2818382.000000	-82.290000
3162277.000000	2541.000000	3162277.000000	-82.640000
3548133.000000	2290.000000	3548133.000000	-82.970000
3981071.000000	2065.000000	3981071.000000	-83.250000
4466835.000000	1865.000000	4466835.000000	-83.520000
5011872.000000	1687.000000	5011872.000000	-83.750000
5623413.000000	1530.000000	5623413.000000	-83.970000
6309573.000000	1392.000000	6309573.000000	-84.170000
7079457.000000	1271.000000	7079457.000000	-84.390000
7943282.000000	1167.000000	7943282.000000	-84.620000
8912509.000000	1074.100000	8912509.000000	-84.480000
1.000000E+7	1000.000000	1.000000E+7	-84.660000
