F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
1000.000000	26800.000000	1000.000000	-4.170000
1122.018000	26690.000000	1122.018000	-4.160000
1258.925000	26580.000000	1258.925000	-4.180000
1412.537000	26470.000000	1412.537000	-4.220000
1584.893000	26360.000000	1584.893000	-4.250000
1778.279000	26250.000000	1778.279000	-4.330000
1995.262000	26150.000000	1995.262000	-4.420000
2238.721000	26050.000000	2238.721000	-4.550000
2511.886000	25950.000000	2511.886000	-4.670000
2818.382000	25840.000000	2818.382000	-4.850000
3162.277000	25730.000000	3162.277000	-5.030000
3548.133000	25620.000000	3548.133000	-5.250000
3981.071000	25500.000000	3981.071000	-5.490000
4466.835000	25380.000000	4466.835000	-5.760000
5011.872000	25260.000000	5011.872000	-6.070000
5623.413000	25130.000000	5623.413000	-6.410000
6309.573000	24990.000000	6309.573000	-6.780000
7079.457000	24840.000000	7079.457000	-7.200000
7943.282000	24690.000000	7943.282000	-7.660000
8912.509000	24530.000000	8912.509000	-8.150000
10000.000000	24360.000000	10000.000000	-8.700000
11220.180000	24180.000000	11220.180000	-9.320000
12589.250000	23990.000000	12589.250000	-9.970000
14125.370000	23780.000000	14125.370000	-10.690000
15848.930000	23560.000000	15848.930000	-11.470000
17782.790000	23320.000000	17782.790000	-12.320000
19952.620000	23070.000000	19952.620000	-13.240000
22387.210000	22790.000000	22387.210000	-14.240000
25118.860000	22490.000000	25118.860000	-15.320000
28183.820000	22160.000000	28183.820000	-16.480000
31622.770000	21810.000000	31622.770000	-17.740000
35481.330000	21430.000000	35481.330000	-19.070000
39810.710000	20990.000000	39810.710000	-20.460000
44668.350000	20540.000000	44668.350000	-21.970000
50118.720000	20060.000000	50118.720000	-23.560000
56234.130000	19540.000000	56234.130000	-25.240000
63095.730000	18980.000000	63095.730000	-26.980000
70794.570000	18390.000000	70794.570000	-28.800000
79432.820000	17760.000000	79432.820000	-30.650000
89125.090000	17090.000000	89125.090000	-32.570000
100000.000000	16390.000000	100000.000000	-34.520000
112201.800000	15680.000000	112201.800000	-36.490000
125892.500000	14940.000000	125892.500000	-38.460000
141253.700000	14190.000000	141253.700000	-40.420000
158489.300000	13430.000000	158489.300000	-42.380000
177827.900000	12680.000000	177827.900000	-44.290000
199526.200000	11920.000000	199526.200000	-46.160000
223872.100000	11180.000000	223872.100000	-47.960000
251188.600000	10424.000000	251188.600000	-49.700000
281838.200000	9726.000000	281838.200000	-51.360000
316227.700000	9055.000000	316227.700000	-52.960000
354813.300000	8412.000000	354813.300000	-54.490000
398107.100000	7800.000000	398107.100000	-55.950000
446683.500000	7220.000000	446683.500000	-57.340000
501187.200000	6672.000000	501187.200000	-58.660000
562341.300000	6156.000000	562341.300000	-59.930000
630957.300000	5672.000000	630957.300000	-61.140000
707945.700000	5219.000000	707945.700000	-62.300000
794328.200000	4796.000000	794328.200000	-63.410000
891250.900000	4402.000000	891250.900000	-64.470000
1000000.000000	4035.000000	1000000.000000	-65.460000
1122018.000000	3695.000000	1122018.000000	-66.410000
1258925.000000	3379.000000	1258925.000000	-67.310000
1412537.000000	3088.000000	1412537.000000	-68.150000
1584893.000000	2819.000000	1584893.000000	-68.930000
1778279.000000	2572.000000	1778279.000000	-69.650000
1995262.000000	2345.000000	1995262.000000	-70.320000
2238721.000000	2138.000000	2238721.000000	-70.920000
2511886.000000	1950.000000	2511886.000000	-71.470000
2818382.000000	1779.000000	2818382.000000	-71.960000
3162277.000000	1623.000000	3162277.000000	-72.410000
3548133.000000	1481.000000	3548133.000000	-72.800000
3981071.000000	1353.000000	3981071.000000	-73.140000
4466835.000000	1238.000000	4466835.000000	-73.450000
5011872.000000	1136.000000	5011872.000000	-73.710000
5623413.000000	1042.000000	5623413.000000	-73.900000
6309573.000000	963.400000	6309573.000000	-74.080000
7079457.000000	894.500000	7079457.000000	-74.250000
7943282.000000	836.000000	7943282.000000	-74.450000
8912509.000000	787.900000	8912509.000000	-74.710000
1.000000E+7	751.000000	1.000000E+7	-75.080000
