F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
1000.000000	23430.000000	1000.000000	-4.750000
1122.018000	23350.000000	1122.018000	-4.760000
1258.925000	23250.000000	1258.925000	-4.780000
1412.537000	23160.000000	1412.537000	-4.840000
1584.893000	23050.000000	1584.893000	-4.910000
1778.279000	22950.000000	1778.279000	-5.020000
1995.262000	22860.000000	1995.262000	-5.150000
2238.721000	22750.000000	2238.721000	-5.300000
2511.886000	22650.000000	2511.886000	-5.480000
2818.382000	22540.000000	2818.382000	-5.690000
3162.277000	22430.000000	3162.277000	-5.930000
3548.133000	22330.000000	3548.133000	-6.200000
3981.071000	22230.000000	3981.071000	-6.510000
4466.835000	22130.000000	4466.835000	-6.860000
5011.872000	22010.000000	5011.872000	-7.240000
5623.413000	21880.000000	5623.413000	-7.670000
6309.573000	21740.000000	6309.573000	-8.150000
7079.457000	21590.000000	7079.457000	-8.660000
7943.282000	21430.000000	7943.282000	-9.230000
8912.509000	21180.000000	8912.509000	-9.800000
10000.000000	20990.000000	10000.000000	-10.470000
11220.180000	20790.000000	11220.180000	-11.190000
12589.250000	20580.000000	12589.250000	-11.980000
14125.370000	20350.000000	14125.370000	-12.830000
15848.930000	20100.000000	15848.930000	-13.750000
17782.790000	19830.000000	17782.790000	-14.730000
19952.620000	19540.000000	19952.620000	-15.770000
22387.210000	19230.000000	22387.210000	-16.900000
25118.860000	18890.000000	25118.860000	-18.070000
28183.820000	18530.000000	28183.820000	-19.320000
31622.770000	18140.000000	31622.770000	-20.640000
35481.330000	17730.000000	35481.330000	-22.010000
39810.710000	17210.000000	39810.710000	-23.230000
44668.350000	16730.000000	44668.350000	-24.680000
50118.720000	16240.000000	50118.720000	-26.190000
56234.130000	15720.000000	56234.130000	-27.710000
63095.730000	15180.000000	63095.730000	-29.280000
70794.570000	14620.000000	70794.570000	-30.840000
79432.820000	14050.000000	79432.820000	-32.430000
89125.090000	13460.000000	89125.090000	-34.020000
100000.000000	12860.000000	100000.000000	-35.590000
112201.800000	12260.000000	112201.800000	-37.140000
125892.500000	11660.000000	125892.500000	-38.640000
141253.700000	11050.000000	141253.700000	-40.110000
158489.300000	10426.000000	158489.300000	-41.550000
177827.900000	9852.000000	177827.900000	-42.940000
199526.200000	9291.000000	199526.200000	-44.270000
223872.100000	8747.000000	223872.100000	-45.580000
251188.600000	8222.000000	251188.600000	-46.830000
281838.200000	7717.000000	281838.200000	-48.030000
316227.700000	7235.000000	316227.700000	-49.180000
354813.300000	6774.000000	354813.300000	-50.300000
398107.100000	6335.000000	398107.100000	-51.410000
446683.500000	5920.000000	446683.500000	-52.500000
501187.200000	5524.000000	501187.200000	-53.570000
562341.300000	5150.000000	562341.300000	-54.640000
630957.300000	4794.000000	630957.300000	-55.700000
707945.700000	4457.000000	707945.700000	-56.750000
794328.200000	4138.000000	794328.200000	-57.800000
891250.900000	3836.000000	891250.900000	-58.840000
1000000.000000	3552.000000	1000000.000000	-59.870000
1122018.000000	3284.000000	1122018.000000	-60.890000
1258925.000000	3031.000000	1258925.000000	-61.890000
1412537.000000	2794.000000	1412537.000000	-62.850000
1584893.000000	2572.000000	1584893.000000	-63.780000
1778279.000000	2365.000000	1778279.000000	-64.670000
1995262.000000	2172.000000	1995262.000000	-65.520000
2238721.000000	1994.000000	2238721.000000	-66.330000
2511886.000000	1829.000000	2511886.000000	-67.090000
2818382.000000	1677.000000	2818382.000000	-67.800000
3162277.000000	1537.000000	3162277.000000	-68.460000
3548133.000000	1409.000000	3548133.000000	-69.070000
3981071.000000	1293.000000	3981071.000000	-69.630000
4466835.000000	1187.000000	4466835.000000	-70.150000
5011872.000000	1088.900000	5011872.000000	-70.620000
5623413.000000	1003.700000	5623413.000000	-71.040000
6309573.000000	927.600000	6309573.000000	-71.470000
7079457.000000	860.600000	7079457.000000	-71.890000
7943282.000000	802.300000	7943282.000000	-72.350000
8912509.000000	752.400000	8912509.000000	-72.910000
1.000000E+7	710.800000	1.000000E+7	-73.620000
