F (Hz),|Z| (Ohms),F (Hz),Theta (Deg)
1000,28000,1000,-4.62
1122.018,27830,1122.018,-4.65
1258.925,27670,1258.925,-4.68
1412.537,27520,1412.537,-4.73
1584.893,27380,1584.893,-4.8
1778.279,27230,1778.279,-4.88
1995.262,27090,1995.262,-4.97
2238.721,26940,2238.721,-5.08
2511.886,26790,2511.886,-5.21
2818.382,26620,2818.382,-5.35
3162.277,26450,3162.277,-5.53
3548.133,26270,3548.133,-5.72
3981.071,26110,3981.071,-5.93
4466.835,25960,4466.835,-6.17
5011.872,25800,5011.872,-6.43
5623.413,25630,5623.413,-6.72
6309.573,25450,6309.573,-7.03
7079.457,25270,7079.457,-7.39
7943.282,25070,7943.282,-7.77
8912.509,24880,8912.509,-8.2
10000,24680,10000,-8.68
11220.18,24480,11220.18,-9.2
12589.25,24260,12589.25,-9.77
14125.37,24040,14125.37,-10.39
15848.93,23810,15848.93,-11.06
17782.79,23560,17782.79,-11.79
19952.62,23290,19952.62,-12.58
22387.21,23010,22387.21,-13.45
25118.86,22710,25118.86,-14.39
28183.82,22390,28183.82,-15.4
31622.77,22040,31622.77,-16.5
35481.33,21680,35481.33,-17.68
39810.71,21270,39810.71,-18.92
44668.35,20850,44668.35,-20.28
50118.72,20400,50118.72,-21.71
56234.13,19920,56234.13,-23.24
63095.73,19400,63095.73,-24.85
70794.57,18850,70794.57,-26.53
79432.82,18270,79432.82,-28.27
89125.09,17660,89125.09,-30.09
100000,17010,100000,-31.95
112201.8,16340,112201.8,-33.87
125892.5,15650,125892.5,-35.8
141253.7,14930,141253.7,-37.74
158489.3,14200,158489.3,-39.69
177827.9,13470,177827.9,-41.63
199526.2,12730,199526.2,-43.55
223872.1,11990,223872.1,-45.44
251188.6,11270,251188.6,-47.29
281838.2,10522,281838.2,-49.07
316227.7,9835,316227.7,-50.83
354813.3,9168,354813.3,-52.54
398107.1,8524,398107.1,-54.19
446683.5,7909,446683.5,-55.8
501187.2,7320,501187.2,-57.34
562341.3,6764,562341.3,-58.84
630957.3,6238,630957.3,-60.27
707945.7,5741,707945.7,-61.64
794328.2,5275,794328.2,-62.95
891250.9,4839,891250.9,-64.2
1000000,4431,1000000,-65.38
1122018,4053,1122018,-66.49
1258925,3702,1258925,-67.53
1412537,3377,1412537,-68.5
1584893,3079,1584893,-69.4
1778279,2804,1778279,-70.22
1995262,2553,1995262,-70.97
2238721,2323,2238721,-71.66
2511886,2114,2511886,-72.29
2818382,1924,2818382,-72.86
3162277,1752,3162277,-73.38
3548133,1597,3548133,-73.85
3981071,1457,3981071,-74.26
4466835,1331,4466835,-74.64
5011872,1219,5011872,-74.99
5623413,1119,5623413,-75.31
6309573,1028.4,6309573,-75.48
7079457,952.2,7079457,-75.72
7943282,887.1,7943282,-75.97
8912509,833.4,8912509,-76.26
10000000,791.1,10000000,-76.67
