F (Hz),|Z| (Ohms),F (Hz),Theta (Deg)
1000,22110,1000,-4.84
1122.018,22070,1122.018,-4.82
1258.925,22000,1258.925,-4.83
1412.537,21950,1412.537,-4.84
1584.893,21890,1584.893,-4.86
1778.279,21800,1778.279,-4.92
1995.262,21740,1995.262,-5.01
2238.721,21630,2238.721,-5.1
2511.886,21530,2511.886,-5.25
2818.382,21460,2818.382,-5.42
3162.277,21390,3162.277,-5.59
3548.133,21300,3548.133,-5.82
3981.071,21210,3981.071,-6.07
4466.835,21130,4466.835,-6.38
5011.872,21090,5011.872,-6.72
5623.413,21030,5623.413,-7.07
6309.573,20950,6309.573,-7.48
7079.457,20880,7079.457,-7.93
7943.282,20780,7943.282,-8.41
8912.509,20660,8912.509,-8.97
10000,20530,10000,-9.55
11220.18,20370,11220.18,-10.18
12589.25,20190,12589.25,-10.88
14125.37,20000,14125.37,-11.63
15848.93,19790,15848.93,-12.45
17782.79,19570,17782.79,-13.33
19952.62,19340,19952.62,-14.28
22387.21,19070,22387.21,-15.28
25118.86,18790,25118.86,-16.37
28183.82,18490,28183.82,-17.54
31622.77,18180,31622.77,-18.78
35481.33,17830,35481.33,-20.04
39810.71,17410,39810.71,-21.31
44668.35,17000,44668.35,-22.68
50118.72,16560,50118.72,-24.12
56234.13,16100,56234.13,-25.62
63095.73,15620,63095.73,-27.15
70794.57,15110,70794.57,-28.69
79432.82,14580,79432.82,-30.27
89125.09,14040,89125.09,-31.89
100000,13490,100000,-33.53
112201.8,12920,112201.8,-35.18
125892.5,12340,125892.5,-36.82
141253.7,11760,141253.7,-38.45
158489.3,11180,158489.3,-40.07
177827.9,10575,177827.9,-41.67
199526.2,10005,199526.2,-43.24
223872.1,9442,223872.1,-44.79
251188.6,8892,251188.6,-46.3
281838.2,8359,281838.2,-47.79
316227.7,7840,316227.7,-49.25
354813.3,7339,354813.3,-50.68
398107.1,6857,398107.1,-52.08
446683.5,6391,446683.5,-53.43
501187.2,5948,501187.2,-54.76
562341.3,5526,562341.3,-56.07
630957.3,5125,630957.3,-57.35
707945.7,4745,707945.7,-58.58
794328.2,4385,794328.2,-59.78
891250.9,4046,891250.9,-60.93
1000000,3728,1000000,-62.03
1122018,3430,1122018,-63.08
1258925,3151,1258925,-64.07
1412537,2891,1412537,-65.02
1584893,2650,1584893,-65.91
1778279,2428,1778279,-66.74
1995262,2222,1995262,-67.51
2238721,2033,2238721,-68.22
2511886,1859,2511886,-68.88
2818382,1700,2818382,-69.49
3162277,1555,3162277,-70.05
3548133,1423,3548133,-70.55
3981071,1303,3981071,-71.02
4466835,1195,4466835,-71.44
5011872,1094.7,5011872,-71.82
5623413,1007.5,5623413,-72.15
6309573,930.1,6309573,-72.47
7079457,862.6,7079457,-72.86
7943282,803.5,7943282,-73.27
8912509,753,8912509,-73.74
10000000,710.7,10000000,-74.38
