F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
1000.000000	NaN	1000.000000	NaN
1122.018000	NaN	1122.018000	NaN
1258.925000	NaN	1258.925000	NaN
1412.537000	NaN	1412.537000	NaN
1584.893000	NaN	1584.893000	NaN
1778.279000	NaN	1778.279000	NaN
1995.262000	NaN	1995.262000	NaN
2238.721000	NaN	2238.721000	NaN
2511.886000	NaN	2511.886000	NaN
2818.382000	NaN	2818.382000	NaN
3162.277000	NaN	3162.277000	NaN
3548.133000	NaN	3548.133000	NaN
3981.071000	NaN	3981.071000	NaN
4466.835000	NaN	4466.835000	NaN
5011.872000	NaN	5011.872000	NaN
5623.413000	NaN	5623.413000	NaN
6309.573000	NaN	6309.573000	NaN
7079.457000	1167000.000000	7079.457000	-88.300000
7943.282000	1042000.000000	7943.282000	-88.300000
8912.509000	931000.000000	8912.509000	-88.300000
10000.000000	831000.000000	10000.000000	-88.300000
11220.180000	743000.000000	11220.180000	-88.300000
12589.250000	663000.000000	12589.250000	-88.300000
14125.370000	592000.000000	14125.370000	-88.300000
15848.930000	529000.000000	15848.930000	-88.300000
17782.790000	473000.000000	17782.790000	-88.300000
19952.620000	422000.000000	19952.620000	-88.300000
22387.210000	377000.000000	22387.210000	-88.300000
25118.860000	337000.000000	25118.860000	-88.300000
28183.820000	301000.000000	28183.820000	-88.300000
31622.770000	269000.000000	31622.770000	-88.300000
35481.330000	240000.000000	35481.330000	-88.300000
39810.710000	214000.000000	39810.710000	-88.400000
44668.350000	191000.000000	44668.350000	-88.400000
50118.720000	171000.000000	50118.720000	-88.400000
56234.130000	153000.000000	56234.130000	-88.400000
63095.730000	136000.000000	63095.730000	-88.400000
70794.570000	122000.000000	70794.570000	-88.400000
79432.820000	108590.000000	79432.820000	-88.440000
89125.090000	96970.000000	89125.090000	-88.460000
100000.000000	86590.000000	100000.000000	-88.480000
112201.800000	77320.000000	112201.800000	-88.500000
125892.500000	69030.000000	125892.500000	-88.520000
141253.700000	61620.000000	141253.700000	-88.610000
158489.300000	55020.000000	158489.300000	-88.550000
177827.900000	49120.000000	177827.900000	-88.570000
199526.200000	43850.000000	199526.200000	-88.580000
223872.100000	39140.000000	223872.100000	-88.590000
251188.600000	34940.000000	251188.600000	-88.610000
281838.200000	31200.000000	281838.200000	-88.620000
316227.700000	27850.000000	316227.700000	-88.640000
354813.300000	24860.000000	354813.300000	-88.650000
398107.100000	22200.000000	398107.100000	-88.660000
446683.500000	19820.000000	446683.500000	-88.670000
501187.200000	17690.000000	501187.200000	-88.680000
562341.300000	15790.000000	562341.300000	-88.690000
630957.300000	14100.000000	630957.300000	-88.700000
707945.700000	12590.000000	707945.700000	-88.710000
794328.200000	11240.000000	794328.200000	-88.710000
891250.900000	10005.000000	891250.900000	-88.700000
1000000.000000	8934.000000	1000000.000000	-88.700000
1122018.000000	7979.000000	1122018.000000	-88.700000
1258925.000000	7126.000000	1258925.000000	-88.690000
1412537.000000	6366.000000	1412537.000000	-88.690000
1584893.000000	5690.000000	1584893.000000	-88.680000
1778279.000000	5084.000000	1778279.000000	-88.670000
1995262.000000	4545.000000	1995262.000000	-88.660000
2238721.000000	4065.000000	2238721.000000	-88.650000
2511886.000000	3638.000000	2511886.000000	-88.640000
2818382.000000	3259.000000	2818382.000000	-88.630000
3162277.000000	2920.000000	3162277.000000	-88.620000
3548133.000000	2619.000000	3548133.000000	-88.600000
3981071.000000	2352.000000	3981071.000000	-88.580000
4466835.000000	2116.000000	4466835.000000	-88.550000
5011872.000000	1907.000000	5011872.000000	-88.530000
5623413.000000	1724.000000	5623413.000000	-88.490000
6309573.000000	1562.000000	6309573.000000	-88.490000
7079457.000000	1422.000000	7079457.000000	-88.480000
7943282.000000	1301.000000	7943282.000000	-88.500000
8912509.000000	1198.000000	8912509.000000	-88.560000
1.000000E+7	1112.000000	1.000000E+7	-88.650000
