F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
1000.000000	NaN	1000.000000	NaN
1122.018000	NaN	1122.018000	NaN
1258.925000	NaN	1258.925000	NaN
1412.537000	NaN	1412.537000	NaN
1584.893000	NaN	1584.893000	NaN
1778.279000	NaN	1778.279000	NaN
1995.262000	NaN	1995.262000	NaN
2238.721000	NaN	2238.721000	NaN
2511.886000	NaN	2511.886000	NaN
2818.382000	NaN	2818.382000	NaN
3162.277000	NaN	3162.277000	NaN
3548.133000	NaN	3548.133000	NaN
3981.071000	NaN	3981.071000	NaN
4466.835000	NaN	4466.835000	NaN
5011.872000	NaN	5011.872000	NaN
5623.413000	NaN	5623.413000	NaN
6309.573000	NaN	6309.573000	NaN
7079.457000	1219500.000000	7079.457000	-88.460000
7943.282000	1088900.000000	7943.282000	-88.460000
8912.509000	972500.000000	8912.509000	-88.450000
10000.000000	867700.000000	10000.000000	-88.460000
11220.180000	774500.000000	11220.180000	-88.450000
12589.250000	691500.000000	12589.250000	-88.450000
14125.370000	617500.000000	14125.370000	-88.450000
15848.930000	552700.000000	15848.930000	-88.470000
17782.790000	493300.000000	17782.790000	-88.460000
19952.620000	438500.000000	19952.620000	-88.460000
22387.210000	391400.000000	22387.210000	-88.450000
25118.860000	349600.000000	25118.860000	-88.440000
28183.820000	312200.000000	28183.820000	-88.450000
31622.770000	278800.000000	31622.770000	-88.460000
35481.330000	248900.000000	35481.330000	-88.460000
39810.710000	222300.000000	39810.710000	-88.470000
44668.350000	198500.000000	44668.350000	-88.500000
50118.720000	177300.000000	50118.720000	-88.510000
56234.130000	158300.000000	56234.130000	-88.520000
63095.730000	141300.000000	63095.730000	-88.520000
70794.570000	126200.000000	70794.570000	-88.540000
79432.820000	112700.000000	79432.820000	-88.540000
89125.090000	100620.000000	89125.090000	-88.570000
100000.000000	89850.000000	100000.000000	-88.600000
112201.800000	80220.000000	112201.800000	-88.620000
125892.500000	71610.000000	125892.500000	-88.640000
141253.700000	63930.000000	141253.700000	-88.670000
158489.300000	57060.000000	158489.300000	-88.660000
177827.900000	50940.000000	177827.900000	-88.680000
199526.200000	45470.000000	199526.200000	-88.690000
223872.100000	40590.000000	223872.100000	-88.700000
251188.600000	36230.000000	251188.600000	-88.720000
281838.200000	32340.000000	281838.200000	-88.730000
316227.700000	28870.000000	316227.700000	-88.740000
354813.300000	25770.000000	354813.300000	-88.750000
398107.100000	23010.000000	398107.100000	-88.770000
446683.500000	20540.000000	446683.500000	-88.780000
501187.200000	18330.000000	501187.200000	-88.790000
562341.300000	16370.000000	562341.300000	-88.800000
630957.300000	14610.000000	630957.300000	-88.810000
707945.700000	13040.000000	707945.700000	-88.820000
794328.200000	11650.000000	794328.200000	-88.820000
891250.900000	10369.000000	891250.900000	-88.820000
1000000.000000	9259.000000	1000000.000000	-88.820000
1122018.000000	8269.000000	1122018.000000	-88.820000
1258925.000000	7386.000000	1258925.000000	-88.820000
1412537.000000	6599.000000	1412537.000000	-88.820000
1584893.000000	5897.000000	1584893.000000	-88.820000
1778279.000000	5272.000000	1778279.000000	-88.810000
1995262.000000	4715.000000	1995262.000000	-88.800000
2238721.000000	4219.000000	2238721.000000	-88.800000
2511886.000000	3778.000000	2511886.000000	-88.790000
2818382.000000	3386.000000	2818382.000000	-88.780000
3162277.000000	3038.000000	3162277.000000	-88.770000
3548133.000000	2730.000000	3548133.000000	-88.760000
3981071.000000	2457.000000	3981071.000000	-88.740000
4466835.000000	2216.000000	4466835.000000	-88.730000
5011872.000000	2005.000000	5011872.000000	-88.710000
5623413.000000	1821.000000	5623413.000000	-88.690000
6309573.000000	1662.000000	6309573.000000	-88.680000
7079457.000000	1526.000000	7079457.000000	-88.690000
7943282.000000	1414.000000	7943282.000000	-88.720000
8912509.000000	1325.000000	8912509.000000	-88.780000
1.000000E+7	1262.000000	1.000000E+7	-88.910000
