ID,Red,Green,Blue,Weight1,Pot1,Weight2,Pot2,Weight3,Pot3,Fruit
0,108,80,62,5,185,65511,185,17,185,
1,108,80,62,65532,78,65498,78,13,78,
2,108,80,62,0,155,65492,155,65530,155,
3,108,80,62,15,71,65494,71,0,71,
4,108,80,62,65525,78,65489,78,15,78,
5,108,80,62,65529,79,65495,79,4,79,
6,108,80,62,65527,78,65488,78,65532,78,
7,108,80,62,6,78,65493,78,8,78,
8,108,80,62,8,78,65495,78,11,78,
9,108,80,62,2,76,65499,76,65525,76,
