ID,Red,Green,Blue,Weight1,Pot1,Weight2,Pot2,Weight3,Pot3,Fruit
0,108,80,62,14,79,65482,79,65533,79,
1,108,80,62,17,78,65489,78,65530,78,
2,108,80,62,0,80,65499,80,2,80,
3,108,80,62,65535,81,65508,81,65534,81,
4,108,80,62,65535,79,65502,79,65524,79,
5,108,80,62,65527,186,65517,186,65531,186,
6,108,80,62,0,187,65511,187,0,187,
7,108,80,62,65531,81,65481,81,65533,81,
8,108,80,62,3,80,65495,80,16,80,
9,108,80,62,65530,186,65508,186,65533,186,
