ID,Red,Green,Blue,Weight1,Pot1,Weight2,Pot2,Weight3,Pot3,Fruit
0,108,81,62,65525,79,65511,79,6,79,
1,108,81,62,65531,79,65509,79,65534,79,
2,108,81,62,65525,81,65509,81,65531,81,
3,108,81,62,65521,80,65505,80,65516,80,
4,108,81,62,65523,82,65517,82,65528,82,
5,108,81,62,65519,81,65504,81,65529,81,
6,108,81,62,65524,177,65507,177,1,177,
7,108,81,62,65522,79,65504,79,65520,79,
8,108,81,62,6,81,65512,81,65525,81,
9,108,81,62,10,81,65482,81,65511,81,
