F,Z11,Theta11,Z12,Theta12,Z13,Theta13,,Z21,Theta21,Z22,Theta22,Z23,Theta23,,Z31,Theta31,Z32,Theta32,Z33,Theta33,,Z41,Theta41,Z42,Theta42,Z43,Theta43,,Z51,Theta51,Z52,Theta52,Z53,Theta53,,Z61,Theta61,Z62,Theta62,Z63,Theta63,,Z71,Theta71,Z72,Theta72,Z73,Theta73,,Z81,Theta81,Z82,Theta82,Z83,Theta83,,Z91,Theta91,Z92,Theta92,Z93,Theta93
39810.71,300000,-85.7,343000,-87.1,321000,-86.6,,310000,-85.9,328000,-86.9,306000,-86.3,,311000,-86.1,304000,-86.3,329000,-87.1,,316000,-86,322000,-87.1,300000,-85.8,,370000,-88.5,307000,-86.7,313000,-86.7,,276000,-83.5,307000,-86.4,280000,-83.9,,296000,-84.2,273000,-84.3,287000,-84.4,,290000,-85.1,280000,-84.7,284000,-84.2,,281000,-84,291000,-85.8,288000,-84.8
44668.35,269000,-85.8,306000,-87.2,288000,-86.7,,277000,-86,293000,-87,274000,-86.3,,278000,-86.3,272000,-86.4,294000,-87.2,,282000,-86.3,288000,-87.2,268000,-85.9,,330000,-88.6,275000,-86.8,280000,-86.8,,248000,-83.8,275000,-86.6,251000,-84.2,,265000,-84.5,245000,-84.5,257000,-84.7,,260000,-85.3,251000,-84.9,255000,-84.4,,252000,-84.3,261000,-85.9,258000,-85
50118.72,241000,-85.9,274000,-87.3,257000,-86.8,,248000,-86.1,262000,-87.1,245000,-86.5,,249000,-86.4,244000,-86.5,263000,-87.3,,253000,-86.3,257000,-87.3,240000,-86.1,,295000,-88.6,246000,-86.9,250000,-86.9,,222000,-84,246000,-86.7,225000,-84.4,,237000,-84.7,219000,-84.6,231000,-84.9,,233000,-85.4,225000,-85,229000,-84.6,,226000,-84.5,234000,-86,231000,-85.2
56234.13,215000,-86,245000,-87.3,230000,-86.9,,222000,-86.3,234000,-87.2,219000,-86.6,,223000,-86.5,218000,-86.6,235000,-87.4,,226000,-86.5,230000,-87.4,215000,-86.2,,263000,-88.7,220000,-87,224000,-87,,200000,-84.2,220000,-86.7,202000,-84.6,,213000,-85,197000,-84.8,207000,-85.1,,209000,-85.6,201000,-85.2,205000,-84.8,,202000,-84.7,209000,-86.1,207000,-85.3
63095.73,193000,-86.1,219000,-87.3,206000,-87,,199000,-86.4,209000,-87.2,196000,-86.6,,199000,-86.6,195000,-86.7,210000,-87.4,,202000,-86.6,206000,-87.4,192000,-86.3,,235000,-88.7,197000,-87,200000,-87,,179000,-84.5,196000,-86.8,181000,-84.7,,190000,-85.2,176000,-85,185000,-85.3,,187000,-85.7,181000,-85.3,184000,-85,,181000,-84.9,187000,-86.2,186000,-85.5
70794.57,173000,-86.2,195000,-87.4,184000,-87,,178000,-86.5,187000,-87.3,176000,-86.7,,178000,-86.7,175000,-86.8,188000,-87.5,,181000,-86.7,184000,-87.5,172000,-86.4,,209000,-88.8,176000,-87.1,179000,-87.1,,160000,-84.7,176000,-86.9,162000,-84.9,,170000,-85.4,158000,-85.1,166000,-85.4,,167000,-85.8,162000,-85.4,165000,-85.1,,162000,-85.1,168000,-86.3,166000,-85.6
79432.82,155000,-86.3,175000,-87.4,165000,-87.1,,159000,-86.5,167000,-87.3,157000,-86.8,,160000,-86.8,156000,-86.8,168000,-87.5,,162000,-86.8,164000,-87.5,154000,-86.5,,187000,-88.8,157000,-87.2,160000,-87.2,,144000,-84.8,157000,-86.9,146000,-85.1,,153000,-85.6,142000,-85.2,149000,-85.6,,150000,-85.9,145000,-85.5,147000,-85.3,,146000,-85.3,150000,-86.4,149000,-85.8
89125.09,138000,-86.4,156000,-87.5,147000,-87.2,,142000,-86.7,150000,-87.4,141000,-86.8,,143000,-86.9,140000,-86.9,150000,-87.6,,145000,-86.9,147000,-87.6,138000,-86.6,,167000,-88.8,141000,-87.2,143000,-87.3,,129000,-85.1,140000,-87,131000,-85.3,,137000,-85.8,127000,-85.4,133000,-85.7,,134000,-86,130000,-85.7,132000,-85.5,,130000,-85.5,134000,-86.5,133000,-85.9
100000,124000,-86.5,139000,-87.6,132000,-87.3,,127000,-86.7,134000,-87.5,126000,-87,,128000,-87,125000,-87,134000,-87.7,,130000,-87.1,131000,-87.7,123000,-86.7,,149000,-88.9,126000,-87.3,128000,-87.3,,116000,-85.2,126000,-87.1,117000,-85.5,,122000,-86,114000,-85.5,119000,-85.9,,120000,-86.2,116000,-85.8,118000,-85.6,,117000,-85.7,120000,-86.6,119000,-86
112201.8,111000,-86.6,125000,-87.6,118000,-87.4,,114000,-86.8,120000,-87.6,113000,-87,,114000,-87.1,112000,-87.1,120000,-87.7,,116000,-87.2,117000,-87.7,110000,-86.7,,133000,-88.9,112000,-87.4,114000,-87.4,,103400,-85.38,112000,-87.2,104620,-85.6,,109300,-86.13,101850,-85.67,106650,-86.03,,107480,-86.27,104120,-85.92,105880,-85.77,,104420,-85.8,107340,-86.69,106730,-86.17
