F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
1000.000000	NaN	1000.000000	NaN
1122.018000	NaN	1122.018000	NaN
1258.925000	NaN	1258.925000	NaN
1412.537000	NaN	1412.537000	NaN
1584.893000	NaN	1584.893000	NaN
1778.279000	NaN	1778.279000	NaN
1995.262000	NaN	1995.262000	NaN
2238.721000	NaN	2238.721000	NaN
2511.886000	NaN	2511.886000	NaN
2818.382000	NaN	2818.382000	NaN
3162.277000	NaN	3162.277000	NaN
3548.133000	NaN	3548.133000	NaN
3981.071000	NaN	3981.071000	NaN
4466.835000	NaN	4466.835000	NaN
5011.872000	NaN	5011.872000	NaN
5623.413000	NaN	5623.413000	NaN
6309.573000	1269000.000000	6309.573000	-88.100000
7079.457000	1135000.000000	7079.457000	-88.100000
7943.282000	1015000.000000	7943.282000	-88.100000
8912.509000	905000.000000	8912.509000	-88.100000
10000.000000	808000.000000	10000.000000	-88.100000
11220.180000	722000.000000	11220.180000	-88.100000
12589.250000	645000.000000	12589.250000	-88.100000
14125.370000	576000.000000	14125.370000	-88.100000
15848.930000	515000.000000	15848.930000	-88.100000
17782.790000	460000.000000	17782.790000	-88.100000
19952.620000	411000.000000	19952.620000	-88.100000
22387.210000	367000.000000	22387.210000	-88.200000
25118.860000	328000.000000	25118.860000	-88.200000
28183.820000	293000.000000	28183.820000	-88.200000
31622.770000	262000.000000	31622.770000	-88.200000
35481.330000	234000.000000	35481.330000	-88.200000
39810.710000	209000.000000	39810.710000	-88.200000
44668.350000	187000.000000	44668.350000	-88.300000
50118.720000	167000.000000	50118.720000	-88.300000
56234.130000	149000.000000	56234.130000	-88.300000
63095.730000	133000.000000	63095.730000	-88.300000
70794.570000	119000.000000	70794.570000	-88.300000
79432.820000	106020.000000	79432.820000	-88.370000
89125.090000	94690.000000	89125.090000	-88.380000
100000.000000	84580.000000	100000.000000	-88.410000
112201.800000	75530.000000	112201.800000	-88.440000
125892.500000	67460.000000	125892.500000	-88.460000
141253.700000	60230.000000	141253.700000	-88.540000
158489.300000	53790.000000	158489.300000	-88.510000
177827.900000	48010.000000	177827.900000	-88.520000
199526.200000	42870.000000	199526.200000	-88.540000
223872.100000	38280.000000	223872.100000	-88.550000
251188.600000	34170.000000	251188.600000	-88.570000
281838.200000	30530.000000	281838.200000	-88.590000
316227.700000	27290.000000	316227.700000	-88.610000
354813.300000	24370.000000	354813.300000	-88.630000
398107.100000	21760.000000	398107.100000	-88.640000
446683.500000	19420.000000	446683.500000	-88.650000
501187.200000	17340.000000	501187.200000	-88.670000
562341.300000	15480.000000	562341.300000	-88.680000
630957.300000	13830.000000	630957.300000	-88.700000
707945.700000	12340.000000	707945.700000	-88.710000
794328.200000	10962.000000	794328.200000	-88.690000
891250.900000	9790.000000	891250.900000	-88.700000
1000000.000000	8742.000000	1000000.000000	-88.710000
1122018.000000	7807.000000	1122018.000000	-88.710000
1258925.000000	6974.000000	1258925.000000	-88.720000
1412537.000000	6229.000000	1412537.000000	-88.720000
1584893.000000	5567.000000	1584893.000000	-88.710000
1778279.000000	4975.000000	1778279.000000	-88.710000
1995262.000000	4448.000000	1995262.000000	-88.700000
2238721.000000	3978.000000	2238721.000000	-88.700000
2511886.000000	3560.000000	2511886.000000	-88.690000
2818382.000000	3191.000000	2818382.000000	-88.690000
3162277.000000	2861.000000	3162277.000000	-88.690000
3548133.000000	2565.000000	3548133.000000	-88.690000
3981071.000000	2302.000000	3981071.000000	-88.660000
4466835.000000	2070.000000	4466835.000000	-88.650000
5011872.000000	1866.000000	5011872.000000	-88.630000
5623413.000000	1686.000000	5623413.000000	-88.620000
6309573.000000	1528.000000	6309573.000000	-88.610000
7079457.000000	1390.000000	7079457.000000	-88.620000
7943282.000000	1270.000000	7943282.000000	-88.660000
8912509.000000	1168.000000	8912509.000000	-88.720000
1.000000E+7	1079.000000	1.000000E+7	-88.270000
