F (Hz),|Z| (Ohms),F (Hz),Theta (Deg)
1000,NaN,1000,NaN
1122.018,NaN,1122.018,NaN
1258.925,NaN,1258.925,NaN
1412.537,NaN,1412.537,NaN
1584.893,NaN,1584.893,NaN
1778.279,NaN,1778.279,NaN
1995.262,NaN,1995.262,NaN
2238.721,NaN,2238.721,NaN
2511.886,NaN,2511.886,NaN
2818.382,NaN,2818.382,NaN
3162.277,NaN,3162.277,NaN
3548.133,NaN,3548.133,NaN
3981.071,NaN,3981.071,NaN
4466.835,NaN,4466.835,NaN
5011.872,NaN,5011.872,NaN
5623.413,NaN,5623.413,NaN
6309.573,1291000,6309.573,-87.9
7079.457,1154000,7079.457,-87.9
7943.282,1031000,7943.282,-87.9
8912.509,921000,8912.509,-87.9
10000,824000,10000,-87.9
11220.18,735000,11220.18,-88
12589.25,658000,12589.25,-88
14125.37,588000,14125.37,-88
15848.93,526000,15848.93,-88
17782.79,470000,17782.79,-88.1
19952.62,420000,19952.62,-88.1
22387.21,375000,22387.21,-88.1
25118.86,335000,25118.86,-88.1
28183.82,299000,28183.82,-88.1
31622.77,267000,31622.77,-88.2
35481.33,239000,35481.33,-88.2
39810.71,213000,39810.71,-88.2
44668.35,190000,44668.35,-88.3
50118.72,170000,50118.72,-88.3
56234.13,152000,56234.13,-88.3
63095.73,136000,63095.73,-88.4
70794.57,121000,70794.57,-88.4
79432.82,108180,79432.82,-88.4
89125.09,96640,89125.09,-88.45
100000,86290,100000,-88.46
112201.8,77060,112201.8,-88.49
125892.5,68810,125892.5,-88.52
141253.7,61460,141253.7,-88.57
158489.3,54850,158489.3,-88.57
177827.9,48980,177827.9,-88.59
199526.2,43710,199526.2,-88.6
223872.1,39030,223872.1,-88.62
251188.6,34840,251188.6,-88.65
281838.2,31110,281838.2,-88.67
316227.7,27780,316227.7,-88.68
354813.3,24800,354813.3,-88.69
398107.1,22140,398107.1,-88.71
446683.5,19760,446683.5,-88.73
501187.2,17640,501187.2,-88.74
562341.3,15750,562341.3,-88.76
630957.3,14060,630957.3,-88.77
707945.7,12550,707945.7,-88.78
794328.2,11210,794328.2,-88.78
891250.9,9978,891250.9,-88.78
1000000,8911,1000000,-88.79
1122018,7956,1122018,-88.8
1258925,7104,1258925,-88.8
1412537,6346,1412537,-88.81
1584893,5670,1584893,-88.8
1778279,5066,1778279,-88.8
1995262,4528,1995262,-88.8
2238721,4049,2238721,-88.8
2511886,3622,2511886,-88.8
2818382,3242,2818382,-88.8
3162277,2904,3162277,-88.79
3548133,2603,3548133,-88.79
3981071,2336,3981071,-88.78
4466835,2099,4466835,-88.77
5011872,1890,5011872,-88.76
5623413,1705,5623413,-88.74
6309573,1543,6309573,-88.75
7079457,1400,7079457,-88.76
7943282,1276,7943282,-88.8
8912509,1168,8912509,-88.86
10000000,1073.3,10000000,-88.44
