F (Hz),|Z| (Ohms),F (Hz),Theta (Deg)
1000,NaN,1000,NaN
1122.018,NaN,1122.018,NaN
1258.925,NaN,1258.925,NaN
1412.537,NaN,1412.537,NaN
1584.893,NaN,1584.893,NaN
1778.279,NaN,1778.279,NaN
1995.262,NaN,1995.262,NaN
2238.721,NaN,2238.721,NaN
2511.886,NaN,2511.886,NaN
2818.382,NaN,2818.382,NaN
3162.277,NaN,3162.277,NaN
3548.133,NaN,3548.133,NaN
3981.071,NaN,3981.071,NaN
4466.835,NaN,4466.835,NaN
5011.872,NaN,5011.872,NaN
5623.413,NaN,5623.413,NaN
6309.573,NaN,6309.573,NaN
7079.457,1165000,7079.457,-88.2
7943.282,1041000,7943.282,-88.2
8912.509,929000,8912.509,-88.2
10000,830000,10000,-88.2
11220.18,742000,11220.18,-88.2
12589.25,663000,12589.25,-88.2
14125.37,592000,14125.37,-88.2
15848.93,529000,15848.93,-88.2
17782.79,473000,17782.79,-88.3
19952.62,423000,19952.62,-88.3
22387.21,377000,22387.21,-88.3
25118.86,337000,25118.86,-88.3
28183.82,301000,28183.82,-88.3
31622.77,269000,31622.77,-88.3
35481.33,240000,35481.33,-88.3
39810.71,215000,39810.71,-88.3
44668.35,192000,44668.35,-88.4
50118.72,171000,50118.72,-88.4
56234.13,153000,56234.13,-88.4
63095.73,137000,63095.73,-88.4
70794.57,122000,70794.57,-88.4
79432.82,108870,79432.82,-88.44
89125.09,97220,89125.09,-88.44
100000,86840,100000,-88.47
112201.8,77550,112201.8,-88.5
125892.5,69240,125892.5,-88.52
141253.7,61800,141253.7,-88.63
158489.3,55200,158489.3,-88.55
177827.9,49280,177827.9,-88.57
199526.2,44000,199526.2,-88.57
223872.1,39290,223872.1,-88.6
251188.6,35070,251188.6,-88.62
281838.2,31320,281838.2,-88.64
316227.7,27960,316227.7,-88.65
354813.3,24960,354813.3,-88.67
398107.1,22290,398107.1,-88.68
446683.5,19900,446683.5,-88.69
501187.2,17760,501187.2,-88.71
562341.3,15860,562341.3,-88.72
630957.3,14160,630957.3,-88.73
707945.7,12640,707945.7,-88.75
794328.2,11290,794328.2,-88.76
891250.9,10045,891250.9,-88.75
1000000,8972,1000000,-88.76
1122018,8012,1122018,-88.76
1258925,7157,1258925,-88.77
1412537,6394,1412537,-88.77
1584893,5714,1584893,-88.77
1778279,5107,1778279,-88.77
1995262,4566,1995262,-88.76
2238721,4084,2238721,-88.76
2511886,3655,2511886,-88.76
2818382,3274,2818382,-88.76
3162277,2935,3162277,-88.76
3548133,2633,3548133,-88.76
3981071,2366,3981071,-88.75
4466835,2130,4466835,-88.73
5011872,1922,5011872,-88.73
5623413,1739,5623413,-88.71
6309573,1579,6309573,-88.71
7079457,1440,7079457,-88.73
7943282,1321,7943282,-88.77
8912509,1221,8912509,-88.84
10000000,1140,10000000,-88.96
