F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
1000.000000	NaN	1000.000000	NaN
1122.018000	NaN	1122.018000	NaN
1258.925000	NaN	1258.925000	NaN
1412.537000	NaN	1412.537000	NaN
1584.893000	NaN	1584.893000	NaN
1778.279000	NaN	1778.279000	NaN
1995.262000	NaN	1995.262000	NaN
2238.721000	NaN	2238.721000	NaN
2511.886000	NaN	2511.886000	NaN
2818.382000	NaN	2818.382000	NaN
3162.277000	NaN	3162.277000	NaN
3548.133000	NaN	3548.133000	NaN
3981.071000	NaN	3981.071000	NaN
4466.835000	NaN	4466.835000	NaN
5011.872000	NaN	5011.872000	NaN
5623.413000	NaN	5623.413000	NaN
6309.573000	1291000.000000	6309.573000	-87.900000
7079.457000	1154000.000000	7079.457000	-87.900000
7943.282000	1031000.000000	7943.282000	-87.900000
8912.509000	921000.000000	8912.509000	-87.900000
10000.000000	824000.000000	10000.000000	-87.900000
11220.180000	735000.000000	11220.180000	-88.000000
12589.250000	658000.000000	12589.250000	-88.000000
14125.370000	588000.000000	14125.370000	-88.000000
15848.930000	526000.000000	15848.930000	-88.000000
17782.790000	470000.000000	17782.790000	-88.100000
19952.620000	420000.000000	19952.620000	-88.100000
22387.210000	375000.000000	22387.210000	-88.100000
25118.860000	335000.000000	25118.860000	-88.100000
28183.820000	299000.000000	28183.820000	-88.100000
31622.770000	267000.000000	31622.770000	-88.200000
35481.330000	239000.000000	35481.330000	-88.200000
39810.710000	213000.000000	39810.710000	-88.200000
44668.350000	190000.000000	44668.350000	-88.300000
50118.720000	170000.000000	50118.720000	-88.300000
56234.130000	152000.000000	56234.130000	-88.300000
63095.730000	136000.000000	63095.730000	-88.400000
70794.570000	121000.000000	70794.570000	-88.400000
79432.820000	108180.000000	79432.820000	-88.400000
89125.090000	96640.000000	89125.090000	-88.450000
100000.000000	86290.000000	100000.000000	-88.460000
112201.800000	77060.000000	112201.800000	-88.490000
125892.500000	68810.000000	125892.500000	-88.520000
141253.700000	61460.000000	141253.700000	-88.570000
158489.300000	54850.000000	158489.300000	-88.570000
177827.900000	48980.000000	177827.900000	-88.590000
199526.200000	43710.000000	199526.200000	-88.600000
223872.100000	39030.000000	223872.100000	-88.620000
251188.600000	34840.000000	251188.600000	-88.650000
281838.200000	31110.000000	281838.200000	-88.670000
316227.700000	27780.000000	316227.700000	-88.680000
354813.300000	24800.000000	354813.300000	-88.690000
398107.100000	22140.000000	398107.100000	-88.710000
446683.500000	19760.000000	446683.500000	-88.730000
501187.200000	17640.000000	501187.200000	-88.740000
562341.300000	15750.000000	562341.300000	-88.760000
630957.300000	14060.000000	630957.300000	-88.770000
707945.700000	12550.000000	707945.700000	-88.780000
794328.200000	11210.000000	794328.200000	-88.780000
891250.900000	9978.000000	891250.900000	-88.780000
1000000.000000	8911.000000	1000000.000000	-88.790000
1122018.000000	7956.000000	1122018.000000	-88.800000
1258925.000000	7104.000000	1258925.000000	-88.800000
1412537.000000	6346.000000	1412537.000000	-88.810000
1584893.000000	5670.000000	1584893.000000	-88.800000
1778279.000000	5066.000000	1778279.000000	-88.800000
1995262.000000	4528.000000	1995262.000000	-88.800000
2238721.000000	4049.000000	2238721.000000	-88.800000
2511886.000000	3622.000000	2511886.000000	-88.800000
2818382.000000	3242.000000	2818382.000000	-88.800000
3162277.000000	2904.000000	3162277.000000	-88.790000
3548133.000000	2603.000000	3548133.000000	-88.790000
3981071.000000	2336.000000	3981071.000000	-88.780000
4466835.000000	2099.000000	4466835.000000	-88.770000
5011872.000000	1890.000000	5011872.000000	-88.760000
5623413.000000	1705.000000	5623413.000000	-88.740000
6309573.000000	1543.000000	6309573.000000	-88.750000
7079457.000000	1400.000000	7079457.000000	-88.760000
7943282.000000	1276.000000	7943282.000000	-88.800000
8912509.000000	1168.000000	8912509.000000	-88.860000
1.000000E+7	1073.300000	1.000000E+7	-88.440000
