F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
1000.000000	33550.000000	1000.000000	-3.980000
1122.018000	33430.000000	1122.018000	-4.010000
1258.925000	33310.000000	1258.925000	-4.050000
1412.537000	33200.000000	1412.537000	-4.120000
1584.893000	33090.000000	1584.893000	-4.210000
1778.279000	32970.000000	1778.279000	-4.310000
1995.262000	32850.000000	1995.262000	-4.450000
2238.721000	32730.000000	2238.721000	-4.600000
2511.886000	32610.000000	2511.886000	-4.780000
2818.382000	32480.000000	2818.382000	-4.990000
3162.277000	32340.000000	3162.277000	-5.230000
3548.133000	32200.000000	3548.133000	-5.490000
3981.071000	32060.000000	3981.071000	-5.780000
4466.835000	31910.000000	4466.835000	-6.110000
5011.872000	31750.000000	5011.872000	-6.480000
5623.413000	31590.000000	5623.413000	-6.880000
6309.573000	31400.000000	6309.573000	-7.320000
7079.457000	31210.000000	7079.457000	-7.800000
7943.282000	31010.000000	7943.282000	-8.340000
8912.509000	30800.000000	8912.509000	-8.920000
10000.000000	30580.000000	10000.000000	-9.560000
11220.180000	30340.000000	11220.180000	-10.260000
12589.250000	30080.000000	12589.250000	-11.020000
14125.370000	29810.000000	14125.370000	-11.850000
15848.930000	29510.000000	15848.930000	-12.760000
17782.790000	29190.000000	17782.790000	-13.740000
19952.620000	28830.000000	19952.620000	-14.800000
22387.210000	28450.000000	22387.210000	-15.960000
25118.860000	28040.000000	25118.860000	-17.200000
28183.820000	27600.000000	28183.820000	-18.550000
31622.770000	27110.000000	31622.770000	-19.980000
35481.330000	26570.000000	35481.330000	-21.520000
39810.710000	25980.000000	39810.710000	-23.140000
44668.350000	25350.000000	44668.350000	-24.870000
50118.720000	24670.000000	50118.720000	-26.680000
56234.130000	23940.000000	56234.130000	-28.590000
63095.730000	23160.000000	63095.730000	-30.570000
70794.570000	22330.000000	70794.570000	-32.620000
79432.820000	21450.000000	79432.820000	-34.720000
89125.090000	20530.000000	89125.090000	-36.860000
100000.000000	19580.000000	100000.000000	-39.030000
112201.800000	18600.000000	112201.800000	-41.200000
125892.500000	17600.000000	125892.500000	-43.370000
141253.700000	16590.000000	141253.700000	-45.510000
158489.300000	15580.000000	158489.300000	-47.610000
177827.900000	14580.000000	177827.900000	-49.640000
199526.200000	13600.000000	199526.200000	-51.610000
223872.100000	12640.000000	223872.100000	-53.490000
251188.600000	11720.000000	251188.600000	-55.290000
281838.200000	10803.000000	281838.200000	-56.970000
316227.700000	9966.000000	316227.700000	-58.570000
354813.300000	9175.000000	354813.300000	-60.060000
398107.100000	8430.000000	398107.100000	-61.460000
446683.500000	7733.000000	446683.500000	-62.750000
501187.200000	7085.000000	501187.200000	-63.950000
562341.300000	6483.000000	562341.300000	-65.060000
630957.300000	5926.000000	630957.300000	-66.090000
707945.700000	5412.000000	707945.700000	-67.040000
794328.200000	4938.000000	794328.200000	-67.920000
891250.900000	4503.000000	891250.900000	-68.730000
1000000.000000	4104.000000	1000000.000000	-69.470000
1122018.000000	3738.000000	1122018.000000	-70.150000
1258925.000000	3403.000000	1258925.000000	-70.790000
1412537.000000	3097.000000	1412537.000000	-71.360000
1584893.000000	2818.000000	1584893.000000	-71.890000
1778279.000000	2564.000000	1778279.000000	-72.370000
1995262.000000	2332.000000	1995262.000000	-72.800000
2238721.000000	2122.000000	2238721.000000	-73.190000
2511886.000000	1931.000000	2511886.000000	-73.540000
2818382.000000	1758.000000	2818382.000000	-73.840000
3162277.000000	1602.000000	3162277.000000	-74.110000
3548133.000000	1461.000000	3548133.000000	-74.330000
3981071.000000	1334.000000	3981071.000000	-74.520000
4466835.000000	1221.000000	4466835.000000	-74.670000
5011872.000000	1120.000000	5011872.000000	-74.790000
5623413.000000	1028.400000	5623413.000000	-74.810000
6309573.000000	950.800000	6309573.000000	-74.840000
7079457.000000	884.200000	7079457.000000	-74.860000
7943282.000000	828.600000	7943282.000000	-74.880000
8912509.000000	784.400000	8912509.000000	-74.950000
1.000000E+7	752.800000	1.000000E+7	-75.110000
