F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
1000.000000	2153.000000	1000.000000	-17.970000
1122.018000	2110.000000	1122.018000	-17.240000
1258.925000	2076.000000	1258.925000	-16.580000
1412.537000	2043.000000	1412.537000	-15.940000
1584.893000	2014.000000	1584.893000	-15.300000
1778.279000	1986.000000	1778.279000	-14.710000
1995.262000	1960.000000	1995.262000	-14.140000
2238.721000	1935.000000	2238.721000	-13.600000
2511.886000	1912.000000	2511.886000	-13.090000
2818.382000	1891.000000	2818.382000	-12.610000
3162.277000	1871.000000	3162.277000	-12.160000
3548.133000	1851.000000	3548.133000	-11.760000
3981.071000	1833.000000	3981.071000	-11.380000
4466.835000	1816.000000	4466.835000	-11.050000
5011.872000	1799.000000	5011.872000	-10.760000
5623.413000	1783.000000	5623.413000	-10.500000
6309.573000	1767.000000	6309.573000	-10.280000
7079.457000	1752.000000	7079.457000	-10.090000
7943.282000	1737.000000	7943.282000	-9.950000
8912.509000	1722.000000	8912.509000	-9.850000
10000.000000	1707.000000	10000.000000	-9.780000
11220.180000	1692.000000	11220.180000	-9.740000
12589.250000	1676.000000	12589.250000	-9.740000
14125.370000	1661.000000	14125.370000	-9.780000
15848.930000	1645.000000	15848.930000	-9.850000
17782.790000	1628.000000	17782.790000	-9.930000
19952.620000	1611.000000	19952.620000	-10.060000
22387.210000	1594.000000	22387.210000	-10.190000
25118.860000	1576.000000	25118.860000	-10.350000
28183.820000	1558.000000	28183.820000	-10.520000
31622.770000	1539.000000	31622.770000	-10.710000
35481.330000	1519.000000	35481.330000	-10.900000
39810.710000	1498.000000	39810.710000	-11.060000
44668.350000	1477.000000	44668.350000	-11.260000
50118.720000	1456.000000	50118.720000	-11.460000
56234.130000	1435.000000	56234.130000	-11.650000
63095.730000	1413.000000	63095.730000	-11.830000
70794.570000	1392.000000	70794.570000	-12.010000
79432.820000	1370.000000	79432.820000	-12.160000
89125.090000	1349.000000	89125.090000	-12.330000
100000.000000	1328.000000	100000.000000	-12.460000
112201.800000	1307.000000	112201.800000	-12.590000
125892.500000	1287.000000	125892.500000	-12.700000
141253.700000	1268.000000	141253.700000	-12.810000
158489.300000	1250.000000	158489.300000	-12.910000
177827.900000	1231.000000	177827.900000	-13.030000
199526.200000	1213.000000	199526.200000	-13.130000
223872.100000	1196.000000	223872.100000	-13.240000
251188.600000	1179.000000	251188.600000	-13.350000
281838.200000	1163.000000	281838.200000	-13.510000
316227.700000	1147.000000	316227.700000	-13.650000
354813.300000	1131.000000	354813.300000	-13.810000
398107.100000	1127.000000	398107.100000	-14.300000
446683.500000	1110.000000	446683.500000	-14.500000
501187.200000	1091.400000	501187.200000	-14.650000
562341.300000	1074.200000	562341.300000	-14.820000
630957.300000	1056.600000	630957.300000	-15.020000
707945.700000	1039.100000	707945.700000	-15.240000
794328.200000	1023.600000	794328.200000	-15.600000
891250.900000	1008.000000	891250.900000	-15.900000
1000000.000000	992.300000	1000000.000000	-16.350000
1122018.000000	976.200000	1122018.000000	-16.860000
1258925.000000	961.300000	1258925.000000	-17.430000
1412537.000000	946.100000	1412537.000000	-18.110000
1584893.000000	931.200000	1584893.000000	-18.890000
1778279.000000	916.900000	1778279.000000	-19.780000
1995262.000000	900.500000	1995262.000000	-20.730000
2238721.000000	884.800000	2238721.000000	-21.840000
2511886.000000	868.300000	2511886.000000	-23.040000
2818382.000000	852.800000	2818382.000000	-24.420000
3162277.000000	837.100000	3162277.000000	-25.920000
3548133.000000	820.500000	3548133.000000	-27.560000
3981071.000000	803.700000	3981071.000000	-29.320000
4466835.000000	786.800000	4466835.000000	-31.240000
5011872.000000	770.200000	5011872.000000	-33.300000
5623413.000000	754.300000	5623413.000000	-35.510000
6309573.000000	739.300000	6309573.000000	-37.930000
7079457.000000	725.600000	7079457.000000	-40.490000
7943282.000000	713.700000	7943282.000000	-43.250000
8912509.000000	704.600000	8912509.000000	-46.230000
1.000000E+7	700.700000	1.000000E+7	-49.660000
