F (Hz),|Z| (Ohms),F (Hz),Theta (Deg)
1000,25660,1000,-4.22
1122.018,25540,1122.018,-4.21
1258.925,25440,1258.925,-4.21
1412.537,25340,1412.537,-4.21
1584.893,25330,1584.893,-4.31
1778.279,25260,1778.279,-4.29
1995.262,25160,1995.262,-4.37
2238.721,25080,2238.721,-4.45
2511.886,24970,2511.886,-4.55
2818.382,24860,2818.382,-4.69
3162.277,24760,3162.277,-4.83
3548.133,24650,3548.133,-5.01
3981.071,24540,3981.071,-5.2
4466.835,24420,4466.835,-5.42
5011.872,24300,5011.872,-5.68
5623.413,24170,5623.413,-5.95
6309.573,24030,6309.573,-6.24
7079.457,23870,7079.457,-6.6
7943.282,23720,7943.282,-6.98
8912.509,23570,8912.509,-7.39
10000,23390,10000,-7.85
11220.18,23220,11220.18,-8.35
12589.25,23040,12589.25,-8.89
14125.37,22850,14125.37,-9.49
15848.93,22650,15848.93,-10.15
17782.79,22450,17782.79,-10.87
19952.62,22230,19952.62,-11.64
22387.21,21990,22387.21,-12.48
25118.86,21740,25118.86,-13.41
28183.82,21450,28183.82,-14.4
31622.77,21160,31622.77,-15.49
35481.33,20850,35481.33,-16.66
39810.71,20440,39810.71,-17.85
44668.35,20080,44668.35,-19.18
50118.72,19340,50118.72,-20.14
56234.13,18050,56234.13,-20.73
63095.73,17110,63095.73,-22.16
70794.57,16850,70794.57,-23.96
79432.82,16530,79432.82,-25.79
89125.09,16100,89125.09,-27.54
100000,15640,100000,-29.46
112201.8,15120,112201.8,-31.37
125892.5,14560,125892.5,-33.38
141253.7,13980,141253.7,-35.38
158489.3,13370,158489.3,-37.43
177827.9,12730,177827.9,-39.47
199526.2,12080,199526.2,-41.54
223872.1,11430,223872.1,-43.59
251188.6,10750,251188.6,-45.62
281838.2,10097,281838.2,-47.6
316227.7,9456,316227.7,-49.55
354813.3,8830,354813.3,-51.45
398107.1,8222,398107.1,-53.29
446683.5,7635,446683.5,-55.05
501187.2,7070,501187.2,-56.73
562341.3,6533,562341.3,-58.33
630957.3,6023,630957.3,-59.84
707945.7,5542,707945.7,-61.28
794328.2,5091,794328.2,-62.63
891250.9,4668,891250.9,-63.89
1000000,4274,1000000,-65.07
1122018,3909,1122018,-66.16
1258925,3571,1258925,-67.18
1412537,3259,1412537,-68.11
1584893,2972,1584893,-68.98
1778279,2709,1778279,-69.77
1995262,2468,1995262,-70.48
2238721,2248,2238721,-71.13
2511886,2047,2511886,-71.72
2818382,1865,2818382,-72.24
3162277,1700,3162277,-72.69
3548133,1551,3548133,-73.1
3981071,1417,3981071,-73.44
4466835,1297,4466835,-73.74
5011872,1190,5011872,-74.01
5623413,1092.1,5623413,-74.16
6309573,1009.4,6309573,-74.32
7079457,937.9,7079457,-74.46
7943282,877.8,7943282,-74.62
8912509,829.5,8912509,-74.83
10000000,793.6,10000000,-75.15
