F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
1000.000000	2162.000000	1000.000000	-17.850000
1122.018000	2121.000000	1122.018000	-17.190000
1258.925000	2086.000000	1258.925000	-16.510000
1412.537000	2055.000000	1412.537000	-15.830000
1584.893000	2030.000000	1584.893000	-15.110000
1778.279000	2150.000000	1778.279000	-14.670000
1995.262000	2127.000000	1995.262000	-14.060000
2238.721000	2100.000000	2238.721000	-13.560000
2511.886000	2075.000000	2511.886000	-13.100000
2818.382000	2052.000000	2818.382000	-12.670000
3162.277000	2030.000000	3162.277000	-12.270000
3548.133000	2008.000000	3548.133000	-11.910000
3981.071000	1988.000000	3981.071000	-11.580000
4466.835000	1968.000000	4466.835000	-11.290000
5011.872000	1949.000000	5011.872000	-11.040000
5623.413000	1931.000000	5623.413000	-10.820000
6309.573000	1913.000000	6309.573000	-10.640000
7079.457000	1895.000000	7079.457000	-10.490000
7943.282000	1876.000000	7943.282000	-10.370000
8912.509000	1858.000000	8912.509000	-10.280000
10000.000000	1829.000000	10000.000000	-9.960000
11220.180000	1792.000000	11220.180000	-10.140000
12589.250000	1800.000000	12589.250000	-10.270000
14125.370000	1786.000000	14125.370000	-10.360000
15848.930000	1768.000000	15848.930000	-10.470000
17782.790000	1749.000000	17782.790000	-10.590000
19952.620000	1729.000000	19952.620000	-10.740000
22387.210000	1709.000000	22387.210000	-10.900000
25118.860000	1688.000000	25118.860000	-11.080000
28183.820000	1666.000000	28183.820000	-11.270000
31622.770000	1644.000000	31622.770000	-11.470000
35481.330000	1621.000000	35481.330000	-11.680000
39810.710000	1595.000000	39810.710000	-11.840000
44668.350000	1571.000000	44668.350000	-12.060000
50118.720000	1547.000000	50118.720000	-12.270000
56234.130000	1522.000000	56234.130000	-12.470000
63095.730000	1497.000000	63095.730000	-12.660000
70794.570000	1472.000000	70794.570000	-12.850000
79432.820000	1448.000000	79432.820000	-13.020000
89125.090000	1423.000000	89125.090000	-13.170000
100000.000000	1398.000000	100000.000000	-13.320000
112201.800000	1374.000000	112201.800000	-13.440000
125892.500000	1349.000000	125892.500000	-13.560000
141253.700000	1325.000000	141253.700000	-13.660000
158489.300000	1302.000000	158489.300000	-13.750000
177827.900000	1279.000000	177827.900000	-13.830000
199526.200000	1257.000000	199526.200000	-13.910000
223872.100000	1235.000000	223872.100000	-13.990000
251188.600000	1214.000000	251188.600000	-14.060000
281838.200000	1193.000000	281838.200000	-14.140000
316227.700000	1173.000000	316227.700000	-14.230000
354813.300000	1153.000000	354813.300000	-14.330000
398107.100000	1135.000000	398107.100000	-14.450000
446683.500000	1116.000000	446683.500000	-14.590000
501187.200000	1097.600000	501187.200000	-14.760000
562341.300000	1080.400000	562341.300000	-14.940000
630957.300000	1063.600000	630957.300000	-15.180000
707945.700000	1047.400000	707945.700000	-15.450000
794328.200000	1031.500000	794328.200000	-15.780000
891250.900000	1016.100000	891250.900000	-16.170000
1000000.000000	1000.900000	1000000.000000	-16.620000
1122018.000000	986.000000	1122018.000000	-17.150000
1258925.000000	971.200000	1258925.000000	-17.750000
1412537.000000	956.400000	1412537.000000	-18.440000
1584893.000000	941.200000	1584893.000000	-19.210000
1778279.000000	923.500000	1778279.000000	-19.830000
1995262.000000	894.200000	1995262.000000	-20.470000
2238721.000000	875.200000	2238721.000000	-21.570000
2511886.000000	862.600000	2511886.000000	-22.930000
2818382.000000	856.500000	2818382.000000	-24.620000
3162277.000000	844.000000	3162277.000000	-26.180000
3548133.000000	820.000000	3548133.000000	-27.480000
3981071.000000	803.000000	3981071.000000	-29.320000
4466835.000000	798.500000	4466835.000000	-31.850000
5011872.000000	781.400000	5011872.000000	-33.930000
5623413.000000	764.500000	5623413.000000	-36.150000
6309573.000000	748.300000	6309573.000000	-38.520000
7079457.000000	733.500000	7079457.000000	-41.080000
7943282.000000	721.000000	7943282.000000	-43.830000
8912509.000000	711.600000	8912509.000000	-46.870000
1.000000E+7	706.900000	1.000000E+7	-50.290000
