F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
1000.000000	33080.000000	1000.000000	-3.980000
1122.018000	32990.000000	1122.018000	-4.000000
1258.925000	32890.000000	1258.925000	-4.040000
1412.537000	32780.000000	1412.537000	-4.110000
1584.893000	32680.000000	1584.893000	-4.180000
1778.279000	32600.000000	1778.279000	-4.300000
1995.262000	32480.000000	1995.262000	-4.430000
2238.721000	32360.000000	2238.721000	-4.590000
2511.886000	32260.000000	2511.886000	-4.760000
2818.382000	32150.000000	2818.382000	-4.960000
3162.277000	32020.000000	3162.277000	-5.200000
3548.133000	31900.000000	3548.133000	-5.450000
3981.071000	31770.000000	3981.071000	-5.740000
4466.835000	31630.000000	4466.835000	-6.070000
5011.872000	31490.000000	5011.872000	-6.430000
5623.413000	31340.000000	5623.413000	-6.820000
6309.573000	31180.000000	6309.573000	-7.260000
7079.457000	31000.000000	7079.457000	-7.740000
7943.282000	30820.000000	7943.282000	-8.260000
8912.509000	30620.000000	8912.509000	-8.840000
10000.000000	30410.000000	10000.000000	-9.470000
11220.180000	30180.000000	11220.180000	-10.170000
12589.250000	29930.000000	12589.250000	-10.920000
14125.370000	29660.000000	14125.370000	-11.740000
15848.930000	29380.000000	15848.930000	-12.630000
17782.790000	29060.000000	17782.790000	-13.610000
19952.620000	28720.000000	19952.620000	-14.670000
22387.210000	28350.000000	22387.210000	-15.820000
25118.860000	27950.000000	25118.860000	-17.050000
28183.820000	27510.000000	28183.820000	-18.390000
31622.770000	27030.000000	31622.770000	-19.820000
35481.330000	26510.000000	35481.330000	-21.350000
39810.710000	25930.000000	39810.710000	-22.950000
44668.350000	25320.000000	44668.350000	-24.680000
50118.720000	24650.000000	50118.720000	-26.490000
56234.130000	23930.000000	56234.130000	-28.400000
63095.730000	23160.000000	63095.730000	-30.390000
70794.570000	22340.000000	70794.570000	-32.430000
79432.820000	21480.000000	79432.820000	-34.540000
89125.090000	20560.000000	89125.090000	-36.700000
100000.000000	19620.000000	100000.000000	-38.870000
112201.800000	18650.000000	112201.800000	-41.060000
125892.500000	17650.000000	125892.500000	-43.230000
141253.700000	16650.000000	141253.700000	-45.400000
158489.300000	15640.000000	158489.300000	-47.480000
177827.900000	14630.000000	177827.900000	-49.540000
199526.200000	13650.000000	199526.200000	-51.520000
223872.100000	12690.000000	223872.100000	-53.420000
251188.600000	11770.000000	251188.600000	-55.220000
281838.200000	10844.000000	281838.200000	-56.930000
316227.700000	10005.000000	316227.700000	-58.540000
354813.300000	9212.000000	354813.300000	-60.040000
398107.100000	8464.000000	398107.100000	-61.450000
446683.500000	7766.000000	446683.500000	-62.750000
501187.200000	7115.000000	501187.200000	-63.960000
562341.300000	6510.000000	562341.300000	-65.090000
630957.300000	5951.000000	630957.300000	-66.120000
707945.700000	5434.000000	707945.700000	-67.080000
794328.200000	4959.000000	794328.200000	-67.970000
891250.900000	4522.000000	891250.900000	-68.780000
1000000.000000	4121.000000	1000000.000000	-69.530000
1122018.000000	3753.000000	1122018.000000	-70.220000
1258925.000000	3416.000000	1258925.000000	-70.850000
1412537.000000	3109.000000	1412537.000000	-71.440000
1584893.000000	2829.000000	1584893.000000	-71.970000
1778279.000000	2573.000000	1778279.000000	-72.450000
1995262.000000	2340.000000	1995262.000000	-72.880000
2238721.000000	2129.000000	2238721.000000	-73.270000
2511886.000000	1937.000000	2511886.000000	-73.620000
2818382.000000	1763.000000	2818382.000000	-73.920000
3162277.000000	1606.000000	3162277.000000	-74.190000
3548133.000000	1465.000000	3548133.000000	-74.410000
3981071.000000	1339.000000	3981071.000000	-74.590000
4466835.000000	1225.000000	4466835.000000	-74.740000
5011872.000000	1124.000000	5011872.000000	-74.870000
5623413.000000	1030.900000	5623413.000000	-74.910000
6309573.000000	953.000000	6309573.000000	-74.940000
7079457.000000	886.000000	7079457.000000	-74.940000
7943282.000000	830.200000	7943282.000000	-74.970000
8912509.000000	785.900000	8912509.000000	-75.030000
1.000000E+7	754.100000	1.000000E+7	-75.200000
