F (Hz),|Z| (Ohms),F (Hz),Theta (Deg)
1000,2153,1000,-17.97
1122.018,2110,1122.018,-17.24
1258.925,2076,1258.925,-16.58
1412.537,2043,1412.537,-15.94
1584.893,2014,1584.893,-15.3
1778.279,1986,1778.279,-14.71
1995.262,1960,1995.262,-14.14
2238.721,1935,2238.721,-13.6
2511.886,1912,2511.886,-13.09
2818.382,1891,2818.382,-12.61
3162.277,1871,3162.277,-12.16
3548.133,1851,3548.133,-11.76
3981.071,1833,3981.071,-11.38
4466.835,1816,4466.835,-11.05
5011.872,1799,5011.872,-10.76
5623.413,1783,5623.413,-10.5
6309.573,1767,6309.573,-10.28
7079.457,1752,7079.457,-10.09
7943.282,1737,7943.282,-9.95
8912.509,1722,8912.509,-9.85
10000,1707,10000,-9.78
11220.18,1692,11220.18,-9.74
12589.25,1676,12589.25,-9.74
14125.37,1661,14125.37,-9.78
15848.93,1645,15848.93,-9.85
17782.79,1628,17782.79,-9.93
19952.62,1611,19952.62,-10.06
22387.21,1594,22387.21,-10.19
25118.86,1576,25118.86,-10.35
28183.82,1558,28183.82,-10.52
31622.77,1539,31622.77,-10.71
35481.33,1519,35481.33,-10.9
39810.71,1498,39810.71,-11.06
44668.35,1477,44668.35,-11.26
50118.72,1456,50118.72,-11.46
56234.13,1435,56234.13,-11.65
63095.73,1413,63095.73,-11.83
70794.57,1392,70794.57,-12.01
79432.82,1370,79432.82,-12.16
89125.09,1349,89125.09,-12.33
100000,1328,100000,-12.46
112201.8,1307,112201.8,-12.59
125892.5,1287,125892.5,-12.7
141253.7,1268,141253.7,-12.81
158489.3,1250,158489.3,-12.91
177827.9,1231,177827.9,-13.03
199526.2,1213,199526.2,-13.13
223872.1,1196,223872.1,-13.24
251188.6,1179,251188.6,-13.35
281838.2,1163,281838.2,-13.51
316227.7,1147,316227.7,-13.65
354813.3,1131,354813.3,-13.81
398107.1,1127,398107.1,-14.3
446683.5,1110,446683.5,-14.5
501187.2,1091.4,501187.2,-14.65
562341.3,1074.2,562341.3,-14.82
630957.3,1056.6,630957.3,-15.02
707945.7,1039.1,707945.7,-15.24
794328.2,1023.6,794328.2,-15.6
891250.9,1008,891250.9,-15.9
1000000,992.3,1000000,-16.35
1122018,976.2,1122018,-16.86
1258925,961.3,1258925,-17.43
1412537,946.1,1412537,-18.11
1584893,931.2,1584893,-18.89
1778279,916.9,1778279,-19.78
1995262,900.5,1995262,-20.73
2238721,884.8,2238721,-21.84
2511886,868.3,2511886,-23.04
2818382,852.8,2818382,-24.42
3162277,837.1,3162277,-25.92
3548133,820.5,3548133,-27.56
3981071,803.7,3981071,-29.32
4466835,786.8,4466835,-31.24
5011872,770.2,5011872,-33.3
5623413,754.3,5623413,-35.51
6309573,739.3,6309573,-37.93
7079457,725.6,7079457,-40.49
7943282,713.7,7943282,-43.25
8912509,704.6,8912509,-46.23
10000000,700.7,10000000,-49.66
