F (Hz),|Z| (Ohms),F (Hz),Theta (Deg)
1000,33080,1000,-3.98
1122.018,32990,1122.018,-4
1258.925,32890,1258.925,-4.04
1412.537,32780,1412.537,-4.11
1584.893,32680,1584.893,-4.18
1778.279,32600,1778.279,-4.3
1995.262,32480,1995.262,-4.43
2238.721,32360,2238.721,-4.59
2511.886,32260,2511.886,-4.76
2818.382,32150,2818.382,-4.96
3162.277,32020,3162.277,-5.2
3548.133,31900,3548.133,-5.45
3981.071,31770,3981.071,-5.74
4466.835,31630,4466.835,-6.07
5011.872,31490,5011.872,-6.43
5623.413,31340,5623.413,-6.82
6309.573,31180,6309.573,-7.26
7079.457,31000,7079.457,-7.74
7943.282,30820,7943.282,-8.26
8912.509,30620,8912.509,-8.84
10000,30410,10000,-9.47
11220.18,30180,11220.18,-10.17
12589.25,29930,12589.25,-10.92
14125.37,29660,14125.37,-11.74
15848.93,29380,15848.93,-12.63
17782.79,29060,17782.79,-13.61
19952.62,28720,19952.62,-14.67
22387.21,28350,22387.21,-15.82
25118.86,27950,25118.86,-17.05
28183.82,27510,28183.82,-18.39
31622.77,27030,31622.77,-19.82
35481.33,26510,35481.33,-21.35
39810.71,25930,39810.71,-22.95
44668.35,25320,44668.35,-24.68
50118.72,24650,50118.72,-26.49
56234.13,23930,56234.13,-28.4
63095.73,23160,63095.73,-30.39
70794.57,22340,70794.57,-32.43
79432.82,21480,79432.82,-34.54
89125.09,20560,89125.09,-36.7
100000,19620,100000,-38.87
112201.8,18650,112201.8,-41.06
125892.5,17650,125892.5,-43.23
141253.7,16650,141253.7,-45.4
158489.3,15640,158489.3,-47.48
177827.9,14630,177827.9,-49.54
199526.2,13650,199526.2,-51.52
223872.1,12690,223872.1,-53.42
251188.6,11770,251188.6,-55.22
281838.2,10844,281838.2,-56.93
316227.7,10005,316227.7,-58.54
354813.3,9212,354813.3,-60.04
398107.1,8464,398107.1,-61.45
446683.5,7766,446683.5,-62.75
501187.2,7115,501187.2,-63.96
562341.3,6510,562341.3,-65.09
630957.3,5951,630957.3,-66.12
707945.7,5434,707945.7,-67.08
794328.2,4959,794328.2,-67.97
891250.9,4522,891250.9,-68.78
1000000,4121,1000000,-69.53
1122018,3753,1122018,-70.22
1258925,3416,1258925,-70.85
1412537,3109,1412537,-71.44
1584893,2829,1584893,-71.97
1778279,2573,1778279,-72.45
1995262,2340,1995262,-72.88
2238721,2129,2238721,-73.27
2511886,1937,2511886,-73.62
2818382,1763,2818382,-73.92
3162277,1606,3162277,-74.19
3548133,1465,3548133,-74.41
3981071,1339,3981071,-74.59
4466835,1225,4466835,-74.74
5011872,1124,5011872,-74.87
5623413,1030.9,5623413,-74.91
6309573,953,6309573,-74.94
7079457,886,7079457,-74.94
7943282,830.2,7943282,-74.97
8912509,785.9,8912509,-75.03
10000000,754.1,10000000,-75.2
