F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
1000.000000	NaN	1000.000000	NaN
1122.018000	NaN	1122.018000	NaN
1258.925000	NaN	1258.925000	NaN
1412.537000	NaN	1412.537000	NaN
1584.893000	NaN	1584.893000	NaN
1778.279000	NaN	1778.279000	NaN
1995.262000	NaN	1995.262000	NaN
2238.721000	NaN	2238.721000	NaN
2511.886000	NaN	2511.886000	NaN
2818.382000	NaN	2818.382000	NaN
3162.277000	NaN	3162.277000	NaN
3548.133000	NaN	3548.133000	NaN
3981.071000	NaN	3981.071000	NaN
4466.835000	NaN	4466.835000	NaN
5011.872000	NaN	5011.872000	NaN
5623.413000	NaN	5623.413000	NaN
6309.573000	NaN	6309.573000	NaN
7079.457000	NaN	7079.457000	NaN
7943.282000	NaN	7943.282000	NaN
8912.509000	1277000.000000	8912.509000	-88.300000
10000.000000	1136000.000000	10000.000000	-88.100000
11220.180000	1016000.000000	11220.180000	-88.200000
12589.250000	905000.000000	12589.250000	-88.200000
14125.370000	809000.000000	14125.370000	-88.300000
15848.930000	720000.000000	15848.930000	-88.100000
17782.790000	645000.000000	17782.790000	-88.200000
19952.620000	577000.000000	19952.620000	-88.200000
22387.210000	516000.000000	22387.210000	-88.200000
25118.860000	461000.000000	25118.860000	-88.300000
28183.820000	412000.000000	28183.820000	-88.300000
31622.770000	367000.000000	31622.770000	-88.300000
35481.330000	328000.000000	35481.330000	-88.200000
39810.710000	292000.000000	39810.710000	-88.200000
44668.350000	261000.000000	44668.350000	-88.300000
50118.720000	233000.000000	50118.720000	-88.200000
56234.130000	209000.000000	56234.130000	-88.200000
63095.730000	186000.000000	63095.730000	-88.200000
70794.570000	166000.000000	70794.570000	-88.200000
79432.820000	149000.000000	79432.820000	-88.200000
89125.090000	133000.000000	89125.090000	-88.200000
100000.000000	119000.000000	100000.000000	-88.200000
112201.800000	105820.000000	112201.800000	-88.250000
125892.500000	94620.000000	125892.500000	-88.310000
141253.700000	84560.000000	141253.700000	-88.040000
158489.300000	75180.000000	158489.300000	-88.280000
177827.900000	67030.000000	177827.900000	-88.240000
199526.200000	59910.000000	199526.200000	-88.260000
223872.100000	53540.000000	223872.100000	-88.240000
251188.600000	47820.000000	251188.600000	-88.240000
281838.200000	42690.000000	281838.200000	-88.240000
316227.700000	38120.000000	316227.700000	-88.220000
354813.300000	34040.000000	354813.300000	-88.250000
398107.100000	30450.000000	398107.100000	-88.280000
446683.500000	27210.000000	446683.500000	-88.290000
501187.200000	24330.000000	501187.200000	-88.320000
562341.300000	21730.000000	562341.300000	-88.350000
630957.300000	19430.000000	630957.300000	-88.390000
707945.700000	17380.000000	707945.700000	-88.420000
794328.200000	15530.000000	794328.200000	-88.480000
891250.900000	13860.000000	891250.900000	-88.510000
1000000.000000	12380.000000	1000000.000000	-88.560000
1122018.000000	11060.000000	1122018.000000	-88.610000
1258925.000000	9861.000000	1258925.000000	-88.650000
1412537.000000	8811.000000	1412537.000000	-88.710000
1584893.000000	7880.000000	1584893.000000	-88.790000
1778279.000000	7046.000000	1778279.000000	-88.870000
1995262.000000	6301.000000	1995262.000000	-88.980000
2238721.000000	5636.000000	2238721.000000	-89.070000
2511886.000000	5044.000000	2511886.000000	-89.200000
2818382.000000	4516.000000	2818382.000000	-89.320000
3162277.000000	4041.000000	3162277.000000	-89.480000
3548133.000000	3618.000000	3548133.000000	-89.610000
3981071.000000	3240.000000	3981071.000000	-89.750000
4466835.000000	2909.000000	4466835.000000	-89.920000
5011872.000000	2611.000000	5011872.000000	-90.080000
5623413.000000	2348.000000	5623413.000000	-90.260000
6309573.000000	2118.000000	6309573.000000	-90.490000
7079457.000000	1914.000000	7079457.000000	-90.730000
7943282.000000	1738.000000	7943282.000000	-91.000000
8912509.000000	1588.000000	8912509.000000	-91.390000
1.000000E+7	1460.000000	1.000000E+7	-91.900000
