F (Hz),|Z| (Ohms),F (Hz),Theta (Deg)
1000,NaN,1000,NaN
1122.018,NaN,1122.018,NaN
1258.925,NaN,1258.925,NaN
1412.537,NaN,1412.537,NaN
1584.893,NaN,1584.893,NaN
1778.279,NaN,1778.279,NaN
1995.262,NaN,1995.262,NaN
2238.721,NaN,2238.721,NaN
2511.886,NaN,2511.886,NaN
2818.382,NaN,2818.382,NaN
3162.277,NaN,3162.277,NaN
3548.133,NaN,3548.133,NaN
3981.071,NaN,3981.071,NaN
4466.835,NaN,4466.835,NaN
5011.872,NaN,5011.872,NaN
5623.413,NaN,5623.413,NaN
6309.573,1271000,6309.573,-87.81
7079.457,1136100,7079.457,-87.83
7943.282,1014900,7943.282,-87.84
8912.509,907000,8912.509,-87.86
10000,810200,10000,-87.87
11220.18,724300,11220.18,-87.89
12589.25,647300,12589.25,-87.91
14125.37,578400,14125.37,-87.93
15848.93,516900,15848.93,-87.95
17782.79,461900,17782.79,-87.97
19952.62,412700,19952.62,-87.98
22387.21,368700,22387.21,-88
25118.86,329500,25118.86,-88.02
28183.82,294400,28183.82,-88.05
31622.77,263000,31622.77,-88.06
35481.33,235000,35481.33,-88.09
39810.71,209900,39810.71,-88.11
44668.35,187500,44668.35,-88.14
50118.72,167500,50118.72,-88.16
56234.13,149600,56234.13,-88.21
63095.73,133700,63095.73,-88.23
70794.57,119400,70794.57,-88.26
79432.82,106660,79432.82,-88.28
89125.09,95270,89125.09,-88.32
100000,85090,100000,-88.35
112201.8,75990,112201.8,-88.38
125892.5,67860,125892.5,-88.41
141253.7,60590,141253.7,-88.45
158489.3,54100,158489.3,-88.46
177827.9,48300,177827.9,-88.49
199526.2,43130,199526.2,-88.5
223872.1,38510,223872.1,-88.52
251188.6,34380,251188.6,-88.54
281838.2,30700,281838.2,-88.56
316227.7,27410,316227.7,-88.58
354813.3,24470,354813.3,-88.6
398107.1,21850,398107.1,-88.62
446683.5,19510,446683.5,-88.63
501187.2,17410,501187.2,-88.65
562341.3,15550,562341.3,-88.66
630957.3,13880,630957.3,-88.68
707945.7,12390,707945.7,-88.69
794328.2,11060,794328.2,-88.7
891250.9,9850,891250.9,-88.69
1000000,8795,1000000,-88.7
1122018,7853,1122018,-88.7
1258925,7012,1258925,-88.71
1412537,6262,1412537,-88.7
1584893,5593,1584893,-88.7
1778279,4997,1778279,-88.69
1995262,4465,1995262,-88.68
2238721,3990,2238721,-88.68
2511886,3567,2511886,-88.67
2818382,3190,2818382,-88.66
3162277,2855,3162277,-88.64
3548133,2556,3548133,-88.63
3981071,2290,3981071,-88.61
4466835,2054,4466835,-88.59
5011872,1844,5011872,-88.56
5623413,1658,5623413,-88.54
6309573,1493,6309573,-88.53
7079457,1346,7079457,-88.53
7943282,1217,7943282,-88.54
8912509,1102,8912509,-88.58
10000000,997.2,10000000,-88.26
