F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
1000.000000	NaN	1000.000000	NaN
1122.018000	NaN	1122.018000	NaN
1258.925000	NaN	1258.925000	NaN
1412.537000	NaN	1412.537000	NaN
1584.893000	NaN	1584.893000	NaN
1778.279000	NaN	1778.279000	NaN
1995.262000	NaN	1995.262000	NaN
2238.721000	NaN	2238.721000	NaN
2511.886000	NaN	2511.886000	NaN
2818.382000	NaN	2818.382000	NaN
3162.277000	NaN	3162.277000	NaN
3548.133000	NaN	3548.133000	NaN
3981.071000	NaN	3981.071000	NaN
4466.835000	NaN	4466.835000	NaN
5011.872000	NaN	5011.872000	NaN
5623.413000	NaN	5623.413000	NaN
6309.573000	1281000.000000	6309.573000	-88.000000
7079.457000	1146000.000000	7079.457000	-88.000000
7943.282000	1023000.000000	7943.282000	-88.000000
8912.509000	914000.000000	8912.509000	-88.000000
10000.000000	817000.000000	10000.000000	-88.000000
11220.180000	731000.000000	11220.180000	-88.000000
12589.250000	652000.000000	12589.250000	-88.100000
14125.370000	583000.000000	14125.370000	-88.100000
15848.930000	521000.000000	15848.930000	-88.100000
17782.790000	466000.000000	17782.790000	-88.100000
19952.620000	416000.000000	19952.620000	-88.100000
22387.210000	372000.000000	22387.210000	-88.100000
25118.860000	332000.000000	25118.860000	-88.200000
28183.820000	297000.000000	28183.820000	-88.200000
31622.770000	265000.000000	31622.770000	-88.200000
35481.330000	237000.000000	35481.330000	-88.200000
39810.710000	211000.000000	39810.710000	-88.300000
44668.350000	189000.000000	44668.350000	-88.300000
50118.720000	169000.000000	50118.720000	-88.300000
56234.130000	151000.000000	56234.130000	-88.300000
63095.730000	135000.000000	63095.730000	-88.400000
70794.570000	120000.000000	70794.570000	-88.400000
79432.820000	107290.000000	79432.820000	-88.420000
89125.090000	95850.000000	89125.090000	-88.410000
100000.000000	85600.000000	100000.000000	-88.460000
112201.800000	76440.000000	112201.800000	-88.490000
125892.500000	68250.000000	125892.500000	-88.520000
141253.700000	60940.000000	141253.700000	-88.530000
158489.300000	54360.000000	158489.300000	-88.570000
177827.900000	48540.000000	177827.900000	-88.590000
199526.200000	43330.000000	199526.200000	-88.600000
223872.100000	38680.000000	223872.100000	-88.620000
251188.600000	34530.000000	251188.600000	-88.640000
281838.200000	30830.000000	281838.200000	-88.660000
316227.700000	27530.000000	316227.700000	-88.680000
354813.300000	24570.000000	354813.300000	-88.690000
398107.100000	21940.000000	398107.100000	-88.710000
446683.500000	19580.000000	446683.500000	-88.720000
501187.200000	17480.000000	501187.200000	-88.730000
562341.300000	15610.000000	562341.300000	-88.750000
630957.300000	13930.000000	630957.300000	-88.760000
707945.700000	12440.000000	707945.700000	-88.770000
794328.200000	11100.000000	794328.200000	-88.770000
891250.900000	9883.000000	891250.900000	-88.760000
891250.900000	9883.000000	891250.900000	-88.760000
1000000.000000	8829.000000	1000000.000000	-88.760000
1122018.000000	7883.000000	1122018.000000	-88.760000
1258925.000000	7038.000000	1258925.000000	-88.770000
1412537.000000	6281.000000	1412537.000000	-88.760000
1584893.000000	5611.000000	1584893.000000	-88.750000
1778279.000000	5012.000000	1778279.000000	-88.740000
1995262.000000	4478.000000	1995262.000000	-88.740000
2238721.000000	4002.000000	2238721.000000	-88.720000
2511886.000000	3578.000000	2511886.000000	-88.720000
2818382.000000	3200.000000	2818382.000000	-88.720000
3162277.000000	2863.000000	3162277.000000	-88.710000
3548133.000000	2563.000000	3548133.000000	-88.690000
3981071.000000	2296.000000	3981071.000000	-88.660000
4466835.000000	2059.000000	4466835.000000	-88.640000
5011872.000000	1849.000000	5011872.000000	-88.620000
5623413.000000	1662.000000	5623413.000000	-88.590000
6309573.000000	1496.000000	6309573.000000	-88.580000
7079457.000000	1350.000000	7079457.000000	-88.570000
7943282.000000	1220.000000	7943282.000000	-88.590000
8912509.000000	1104.000000	8912509.000000	-88.620000
1.000000E+7	998.200000	1.000000E+7	-88.270000
