F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
1000.000000	NaN	1000.000000	NaN
1122.018000	NaN	1122.018000	NaN
1258.925000	NaN	1258.925000	NaN
1412.537000	NaN	1412.537000	NaN
1584.893000	NaN	1584.893000	NaN
1778.279000	NaN	1778.279000	NaN
1995.262000	NaN	1995.262000	NaN
2238.721000	NaN	2238.721000	NaN
2511.886000	NaN	2511.886000	NaN
2818.382000	NaN	2818.382000	NaN
3162.277000	NaN	3162.277000	NaN
3548.133000	NaN	3548.133000	NaN
3981.071000	NaN	3981.071000	NaN
4466.835000	NaN	4466.835000	NaN
5011.872000	NaN	5011.872000	NaN
5623.413000	NaN	5623.413000	NaN
6309.573000	NaN	6309.573000	NaN
7079.457000	1199000.000000	7079.457000	-88.500000
7943.282000	1071000.000000	7943.282000	-88.600000
8912.509000	956000.000000	8912.509000	-88.600000
10000.000000	854000.000000	10000.000000	-88.600000
11220.180000	763000.000000	11220.180000	-88.600000
12589.250000	681000.000000	12589.250000	-88.600000
14125.370000	609000.000000	14125.370000	-88.600000
15848.930000	543000.000000	15848.930000	-88.600000
17782.790000	485000.000000	17782.790000	-88.600000
19952.620000	433000.000000	19952.620000	-88.600000
22387.210000	387000.000000	22387.210000	-88.600000
25118.860000	345000.000000	25118.860000	-88.600000
28183.820000	308000.000000	28183.820000	-88.700000
31622.770000	275000.000000	31622.770000	-88.600000
35481.330000	246000.000000	35481.330000	-88.700000
39810.710000	220000.000000	39810.710000	-88.700000
44668.350000	196000.000000	44668.350000	-88.700000
50118.720000	175000.000000	50118.720000	-88.700000
56234.130000	156000.000000	56234.130000	-88.700000
63095.730000	139000.000000	63095.730000	-88.700000
70794.570000	124000.000000	70794.570000	-88.800000
79432.820000	111000.000000	79432.820000	-88.700000
89125.090000	99110.000000	89125.090000	-88.780000
100000.000000	88510.000000	100000.000000	-88.790000
112201.800000	79000.000000	112201.800000	-88.810000
125892.500000	70510.000000	125892.500000	-88.830000
141253.700000	62900.000000	141253.700000	-88.930000
158489.300000	56180.000000	158489.300000	-88.860000
177827.900000	50130.000000	177827.900000	-88.870000
199526.200000	44740.000000	199526.200000	-88.890000
223872.100000	39930.000000	223872.100000	-88.900000
251188.600000	35640.000000	251188.600000	-88.910000
281838.200000	31810.000000	281838.200000	-88.920000
316227.700000	28390.000000	316227.700000	-88.940000
354813.300000	25340.000000	354813.300000	-88.950000
398107.100000	22610.000000	398107.100000	-88.960000
446683.500000	20180.000000	446683.500000	-88.970000
501187.200000	18010.000000	501187.200000	-88.970000
562341.300000	16070.000000	562341.300000	-88.980000
630957.300000	14340.000000	630957.300000	-88.990000
707945.700000	12800.000000	707945.700000	-89.000000
794328.200000	11420.000000	794328.200000	-89.010000
891250.900000	10163.000000	891250.900000	-88.980000
1000000.000000	9073.000000	1000000.000000	-88.990000
1122018.000000	8098.000000	1122018.000000	-88.990000
1258925.000000	7229.000000	1258925.000000	-88.990000
1412537.000000	6453.000000	1412537.000000	-88.990000
1584893.000000	5763.000000	1584893.000000	-88.970000
1778279.000000	5146.000000	1778279.000000	-88.970000
1995262.000000	4596.000000	1995262.000000	-88.960000
2238721.000000	4106.000000	2238721.000000	-88.960000
2511886.000000	3669.000000	2511886.000000	-88.950000
2818382.000000	3280.000000	2818382.000000	-88.940000
3162277.000000	2933.000000	3162277.000000	-88.940000
3548133.000000	2624.000000	3548133.000000	-88.920000
3981071.000000	2350.000000	3981071.000000	-88.910000
4466835.000000	2105.000000	4466835.000000	-88.890000
5011872.000000	1888.000000	5011872.000000	-88.870000
5623413.000000	1695.000000	5623413.000000	-88.850000
6309573.000000	1524.000000	6309573.000000	-88.840000
7079457.000000	1372.000000	7079457.000000	-88.850000
7943282.000000	1236.000000	7943282.000000	-88.860000
8912509.000000	1116.000000	8912509.000000	-88.900000
1.000000E+7	1004.500000	1.000000E+7	-88.610000
