F (Hz),|Z| (Ohms),F (Hz),Theta (Deg)
1000,NaN,1000,NaN
1122.018,NaN,1122.018,NaN
1258.925,NaN,1258.925,NaN
1412.537,NaN,1412.537,NaN
1584.893,NaN,1584.893,NaN
1778.279,NaN,1778.279,NaN
1995.262,NaN,1995.262,NaN
2238.721,NaN,2238.721,NaN
2511.886,NaN,2511.886,NaN
2818.382,NaN,2818.382,NaN
3162.277,NaN,3162.277,NaN
3548.133,NaN,3548.133,NaN
3981.071,NaN,3981.071,NaN
4466.835,NaN,4466.835,NaN
5011.872,NaN,5011.872,NaN
5623.413,NaN,5623.413,NaN
6309.573,NaN,6309.573,NaN
7079.457,1199000,7079.457,-88.5
7943.282,1071000,7943.282,-88.6
8912.509,956000,8912.509,-88.6
10000,854000,10000,-88.6
11220.18,763000,11220.18,-88.6
12589.25,681000,12589.25,-88.6
14125.37,609000,14125.37,-88.6
15848.93,543000,15848.93,-88.6
17782.79,485000,17782.79,-88.6
19952.62,433000,19952.62,-88.6
22387.21,387000,22387.21,-88.6
25118.86,345000,25118.86,-88.6
28183.82,308000,28183.82,-88.7
31622.77,275000,31622.77,-88.6
35481.33,246000,35481.33,-88.7
39810.71,220000,39810.71,-88.7
44668.35,196000,44668.35,-88.7
50118.72,175000,50118.72,-88.7
56234.13,156000,56234.13,-88.7
63095.73,139000,63095.73,-88.7
70794.57,124000,70794.57,-88.8
79432.82,111000,79432.82,-88.7
89125.09,99110,89125.09,-88.78
100000,88510,100000,-88.79
112201.8,79000,112201.8,-88.81
125892.5,70510,125892.5,-88.83
141253.7,62900,141253.7,-88.93
158489.3,56180,158489.3,-88.86
177827.9,50130,177827.9,-88.87
199526.2,44740,199526.2,-88.89
223872.1,39930,223872.1,-88.9
251188.6,35640,251188.6,-88.91
281838.2,31810,281838.2,-88.92
316227.7,28390,316227.7,-88.94
354813.3,25340,354813.3,-88.95
398107.1,22610,398107.1,-88.96
446683.5,20180,446683.5,-88.97
501187.2,18010,501187.2,-88.97
562341.3,16070,562341.3,-88.98
630957.3,14340,630957.3,-88.99
707945.7,12800,707945.7,-89
794328.2,11420,794328.2,-89.01
891250.9,10163,891250.9,-88.98
1000000,9073,1000000,-88.99
1122018,8098,1122018,-88.99
1258925,7229,1258925,-88.99
1412537,6453,1412537,-88.99
1584893,5763,1584893,-88.97
1778279,5146,1778279,-88.97
1995262,4596,1995262,-88.96
2238721,4106,2238721,-88.96
2511886,3669,2511886,-88.95
2818382,3280,2818382,-88.94
3162277,2933,3162277,-88.94
3548133,2624,3548133,-88.92
3981071,2350,3981071,-88.91
4466835,2105,4466835,-88.89
5011872,1888,5011872,-88.87
5623413,1695,5623413,-88.85
6309573,1524,6309573,-88.84
7079457,1372,7079457,-88.85
7943282,1236,7943282,-88.86
8912509,1116,8912509,-88.9
10000000,1004.5,10000000,-88.61
