,Red,Green,Blue,W1,Pot1,W2,Pot2,W3,Pot3,Fruit
22,104.0,81.0,64.0,162.5,155.5,342.5,155.5,78.0,155.5,2.0
23,107.0,80.0,63.0,250.5,262.0,183.5,262.0,136.0,262.0,2.0
24,107.0,80.0,63.0,176.5,261.0,326.0,261.0,86.5,261.0,2.0
25,106.0,80.0,63.0,152.5,262.0,395.5,262.0,94.0,262.0,2.0
26,112.0,77.0,62.0,315.5,219.0,187.0,219.0,121.0,219.0,2.0
27,108.0,79.0,63.0,299.0,242.5,183.5,242.5,74.0,242.5,2.0
28,108.0,79.0,63.0,202.0,259.5,366.5,259.5,126.5,259.5,2.0
29,113.0,77.0,62.0,264.0,239.5,248.5,239.5,79.5,239.5,2.0
30,105.0,81.0,64.0,275.5,263.0,203.0,263.0,62.5,263.0,2.0
31,105.0,81.0,64.0,293.5,149.5,189.5,149.5,104.0,149.5,2.0
32,106.0,80.0,63.0,159.0,206.0,343.5,206.0,100.0,206.0,2.0
33,111.0,77.0,62.0,274.0,235.0,262.5,235.0,62.5,235.0,2.0
34,105.0,81.0,64.0,169.5,150.0,359.0,150.0,97.0,150.0,2.0
35,106.0,80.0,64.0,222.0,260.0,184.5,260.0,42.5,260.0,2.0
36,105.0,81.0,64.0,152.5,148.5,356.0,148.5,95.5,148.5,2.0
37,104.0,81.0,64.0,152.5,262.0,422.0,262.0,95.0,262.0,2.0
38,111.0,77.0,62.0,274.5,234.5,256.0,234.5,69.0,234.5,2.0
39,106.0,80.0,64.0,177.5,206.0,329.5,206.0,86.5,206.0,2.0
40,106.0,80.0,63.0,156.5,262.0,349.5,262.0,89.0,262.0,2.0
41,108.0,79.0,63.0,227.5,206.5,232.5,206.5,160.0,206.5,2.0
42,106.0,80.0,63.0,183.0,251.0,100.0,251.0,153.5,251.0,2.0
43,108.0,79.0,63.0,166.5,196.5,341.5,196.5,91.5,196.5,2.0
44,107.0,80.0,63.0,170.0,263.0,337.5,263.0,96.5,263.0,2.0
45,107.0,80.0,63.0,176.0,263.0,281.0,263.0,143.0,263.0,2.0
46,112.0,77.0,62.0,272.0,193.5,132.5,193.5,105.5,193.5,2.0
47,108.0,79.0,63.0,182.5,262.0,338.0,262.0,86.0,262.0,2.0
48,106.0,80.0,63.0,272.5,261.5,169.0,261.5,113.0,261.5,2.0
49,104.0,81.0,64.0,244.0,150.5,178.5,150.5,45.0,150.5,2.0
50,107.0,80.0,63.0,284.0,220.0,165.0,220.0,130.0,220.0,2.0
