F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
1000.000000	NaN	1000.000000	NaN
1122.018000	NaN	1122.018000	NaN
1258.925000	NaN	1258.925000	NaN
1412.537000	NaN	1412.537000	NaN
1584.893000	NaN	1584.893000	NaN
1778.279000	NaN	1778.279000	NaN
1995.262000	NaN	1995.262000	NaN
2238.721000	NaN	2238.721000	NaN
2511.886000	NaN	2511.886000	NaN
2818.382000	NaN	2818.382000	NaN
3162.277000	NaN	3162.277000	NaN
3548.133000	NaN	3548.133000	NaN
3981.071000	NaN	3981.071000	NaN
4466.835000	NaN	4466.835000	NaN
5011.872000	NaN	5011.872000	NaN
5623.413000	NaN	5623.413000	NaN
6309.573000	NaN	6309.573000	NaN
7079.457000	1215000.000000	7079.457000	-88.300000
7943.282000	1086000.000000	7943.282000	-88.300000
8912.509000	970000.000000	8912.509000	-88.300000
10000.000000	866000.000000	10000.000000	-88.300000
11220.180000	774000.000000	11220.180000	-88.200000
12589.250000	691000.000000	12589.250000	-88.300000
14125.370000	617000.000000	14125.370000	-88.300000
15848.930000	552000.000000	15848.930000	-88.300000
17782.790000	493000.000000	17782.790000	-88.300000
19952.620000	440000.000000	19952.620000	-88.400000
22387.210000	393000.000000	22387.210000	-88.400000
25118.860000	351000.000000	25118.860000	-88.400000
28183.820000	314000.000000	28183.820000	-88.400000
31622.770000	280000.000000	31622.770000	-88.400000
35481.330000	250000.000000	35481.330000	-88.400000
39810.710000	223000.000000	39810.710000	-88.400000
44668.350000	199000.000000	44668.350000	-88.500000
50118.720000	178000.000000	50118.720000	-88.500000
56234.130000	159000.000000	56234.130000	-88.500000
63095.730000	142000.000000	63095.730000	-88.500000
70794.570000	127000.000000	70794.570000	-88.500000
79432.820000	113000.000000	79432.820000	-88.500000
89125.090000	101020.000000	89125.090000	-88.560000
100000.000000	90200.000000	100000.000000	-88.590000
112201.800000	80540.000000	112201.800000	-88.610000
125892.500000	71910.000000	125892.500000	-88.620000
141253.700000	64170.000000	141253.700000	-88.670000
158489.300000	57310.000000	158489.300000	-88.660000
177827.900000	51160.000000	177827.900000	-88.680000
199526.200000	45670.000000	199526.200000	-88.700000
223872.100000	40770.000000	223872.100000	-88.710000
251188.600000	36390.000000	251188.600000	-88.730000
281838.200000	32490.000000	281838.200000	-88.740000
316227.700000	29000.000000	316227.700000	-88.760000
354813.300000	25890.000000	354813.300000	-88.770000
398107.100000	23110.000000	398107.100000	-88.780000
446683.500000	20630.000000	446683.500000	-88.790000
501187.200000	18410.000000	501187.200000	-88.800000
562341.300000	16440.000000	562341.300000	-88.810000
630957.300000	14670.000000	630957.300000	-88.820000
707945.700000	13100.000000	707945.700000	-88.830000
794328.200000	11700.000000	794328.200000	-88.830000
891250.900000	10412.000000	891250.900000	-88.830000
1000000.000000	9297.000000	1000000.000000	-88.820000
1122018.000000	8302.000000	1122018.000000	-88.830000
1258925.000000	7415.000000	1258925.000000	-88.820000
1412537.000000	6625.000000	1412537.000000	-88.820000
1584893.000000	5920.000000	1584893.000000	-88.820000
1778279.000000	5294.000000	1778279.000000	-88.800000
1995262.000000	4734.000000	1995262.000000	-88.800000
2238721.000000	4235.000000	2238721.000000	-88.800000
2511886.000000	3792.000000	2511886.000000	-88.780000
2818382.000000	3398.000000	2818382.000000	-88.770000
3162277.000000	3049.000000	3162277.000000	-88.770000
3548133.000000	2739.000000	3548133.000000	-88.740000
3981071.000000	2464.000000	3981071.000000	-88.720000
4466835.000000	2221.000000	4466835.000000	-88.690000
5011872.000000	2009.000000	5011872.000000	-88.680000
5623413.000000	1822.000000	5623413.000000	-88.650000
6309573.000000	1663.000000	6309573.000000	-88.620000
7079457.000000	1525.000000	7079457.000000	-88.630000
7943282.000000	1411.000000	7943282.000000	-88.640000
8912509.000000	1320.000000	8912509.000000	-88.680000
1.000000E+7	1253.000000	1.000000E+7	-88.780000
