F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
1000.000000	NaN	1000.000000	NaN
1122.018000	NaN	1122.018000	NaN
1258.925000	NaN	1258.925000	NaN
1412.537000	NaN	1412.537000	NaN
1584.893000	NaN	1584.893000	NaN
1778.279000	NaN	1778.279000	NaN
1995.262000	NaN	1995.262000	NaN
2238.721000	NaN	2238.721000	NaN
2511.886000	NaN	2511.886000	NaN
2818.382000	NaN	2818.382000	NaN
3162.277000	NaN	3162.277000	NaN
3548.133000	NaN	3548.133000	NaN
3981.071000	NaN	3981.071000	NaN
4466.835000	NaN	4466.835000	NaN
5011.872000	NaN	5011.872000	NaN
5623.413000	NaN	5623.413000	NaN
6309.573000	NaN	6309.573000	NaN
7079.457000	NaN	7079.457000	NaN
7943.282000	1190000.000000	7943.282000	-88.830000
8912.509000	1062500.000000	8912.509000	-88.810000
10000.000000	948000.000000	10000.000000	-88.790000
11220.180000	846300.000000	11220.180000	-88.800000
12589.250000	755500.000000	12589.250000	-88.800000
14125.370000	674300.000000	14125.370000	-88.810000
15848.930000	601900.000000	15848.930000	-88.820000
17782.790000	537300.000000	17782.790000	-88.820000
19952.620000	479600.000000	19952.620000	-88.830000
22387.210000	428100.000000	22387.210000	-88.840000
25118.860000	382100.000000	25118.860000	-88.840000
28183.820000	341000.000000	28183.820000	-88.840000
31622.770000	304400.000000	31622.770000	-88.850000
35481.330000	271700.000000	35481.330000	-88.860000
39810.710000	242500.000000	39810.710000	-88.860000
44668.350000	216400.000000	44668.350000	-88.890000
50118.720000	193100.000000	50118.720000	-88.900000
56234.130000	172400.000000	56234.130000	-88.910000
63095.730000	153800.000000	63095.730000	-88.910000
70794.570000	137300.000000	70794.570000	-88.920000
79432.820000	122500.000000	79432.820000	-88.920000
89125.090000	109350.000000	89125.090000	-88.950000
100000.000000	97590.000000	100000.000000	-88.970000
112201.800000	87090.000000	112201.800000	-88.990000
125892.500000	77710.000000	125892.500000	-89.000000
141253.700000	69330.000000	141253.700000	-89.010000
158489.300000	61880.000000	158489.300000	-89.020000
177827.900000	55210.000000	177827.900000	-89.030000
199526.200000	49270.000000	199526.200000	-89.040000
223872.100000	43960.000000	223872.100000	-89.050000
251188.600000	39230.000000	251188.600000	-89.060000
281838.200000	35010.000000	281838.200000	-89.070000
316227.700000	31240.000000	316227.700000	-89.080000
354813.300000	27880.000000	354813.300000	-89.090000
398107.100000	24880.000000	398107.100000	-89.100000
446683.500000	22200.000000	446683.500000	-89.110000
501187.200000	19810.000000	501187.200000	-89.120000
562341.300000	17680.000000	562341.300000	-89.130000
630957.300000	15780.000000	630957.300000	-89.140000
707945.700000	14080.000000	707945.700000	-89.150000
794328.200000	12570.000000	794328.200000	-89.160000
891250.900000	11220.000000	891250.900000	-89.160000
1000000.000000	9996.000000	1000000.000000	-89.160000
1122018.000000	8928.000000	1122018.000000	-89.170000
1258925.000000	7977.000000	1258925.000000	-89.170000
1412537.000000	7130.000000	1412537.000000	-89.180000
1584893.000000	6375.000000	1584893.000000	-89.180000
1778279.000000	5704.000000	1778279.000000	-89.180000
1995262.000000	5107.000000	1995262.000000	-89.180000
2238721.000000	4578.000000	2238721.000000	-89.180000
2511886.000000	4107.000000	2511886.000000	-89.180000
2818382.000000	3691.000000	2818382.000000	-89.190000
3162277.000000	3324.000000	3162277.000000	-89.190000
3548133.000000	3001.000000	3548133.000000	-89.200000
3981071.000000	2718.000000	3981071.000000	-89.200000
4466835.000000	2472.000000	4466835.000000	-89.200000
5011872.000000	2262.000000	5011872.000000	-89.210000
5623413.000000	2085.000000	5623413.000000	-89.220000
6309573.000000	1942.000000	6309573.000000	-89.240000
7079457.000000	1836.000000	7079457.000000	-89.280000
7943282.000000	1773.000000	7943282.000000	-89.360000
8912509.000000	1770.000000	8912509.000000	-89.510000
1.000000E+7	1866.000000	1.000000E+7	-89.790000
