F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
1000.000000	2131.000000	1000.000000	-17.440000
1122.018000	2092.000000	1122.018000	-16.700000
1258.925000	2059.000000	1258.925000	-16.030000
1412.537000	2029.000000	1412.537000	-15.380000
1584.893000	2002.000000	1584.893000	-14.740000
1778.279000	1975.000000	1778.279000	-14.160000
1995.262000	1951.000000	1995.262000	-13.580000
2238.721000	1928.000000	2238.721000	-13.020000
2511.886000	1906.000000	2511.886000	-12.510000
2818.382000	1886.000000	2818.382000	-12.010000
3162.277000	1867.000000	3162.277000	-11.540000
3548.133000	1849.000000	3548.133000	-11.110000
3981.071000	1831.000000	3981.071000	-10.700000
4466.835000	1815.000000	4466.835000	-10.320000
5011.872000	1799.000000	5011.872000	-9.980000
5623.413000	1784.000000	5623.413000	-9.660000
6309.573000	1770.000000	6309.573000	-9.390000
7079.457000	1756.000000	7079.457000	-9.120000
7943.282000	1742.000000	7943.282000	-8.900000
8912.509000	1729.000000	8912.509000	-8.700000
10000.000000	1715.000000	10000.000000	-8.530000
11220.180000	1702.000000	11220.180000	-8.390000
12589.250000	1689.000000	12589.250000	-8.270000
14125.370000	1676.000000	14125.370000	-8.180000
15848.930000	1663.000000	15848.930000	-8.100000
17782.790000	1649.000000	17782.790000	-8.060000
19952.620000	1636.000000	19952.620000	-8.030000
22387.210000	1622.000000	22387.210000	-8.020000
25118.860000	1609.000000	25118.860000	-8.020000
28183.820000	1595.000000	28183.820000	-8.040000
31622.770000	1581.000000	31622.770000	-8.070000
35481.330000	1566.000000	35481.330000	-8.110000
39810.710000	1550.000000	39810.710000	-8.110000
44668.350000	1536.000000	44668.350000	-8.180000
50118.720000	1521.000000	50118.720000	-8.240000
56234.130000	1506.000000	56234.130000	-8.310000
63095.730000	1491.000000	63095.730000	-8.380000
70794.570000	1476.000000	70794.570000	-8.450000
79432.820000	1461.000000	79432.820000	-8.520000
89125.090000	1447.000000	89125.090000	-8.600000
100000.000000	1432.000000	100000.000000	-8.690000
112201.800000	1417.000000	112201.800000	-8.780000
125892.500000	1403.000000	125892.500000	-8.870000
141253.700000	1389.000000	141253.700000	-8.980000
158489.300000	1375.000000	158489.300000	-9.110000
177827.900000	1361.000000	177827.900000	-9.250000
199526.200000	1348.000000	199526.200000	-9.410000
223872.100000	1334.000000	223872.100000	-9.590000
251188.600000	1321.000000	251188.600000	-9.790000
281838.200000	1308.000000	281838.200000	-10.030000
316227.700000	1295.000000	316227.700000	-10.300000
354813.300000	1282.000000	354813.300000	-10.600000
398107.100000	1269.000000	398107.100000	-10.950000
446683.500000	1256.000000	446683.500000	-11.350000
501187.200000	1243.000000	501187.200000	-11.790000
562341.300000	1229.000000	562341.300000	-12.290000
630957.300000	1216.000000	630957.300000	-12.850000
707945.700000	1202.000000	707945.700000	-13.470000
794328.200000	1188.000000	794328.200000	-14.160000
891250.900000	1173.000000	891250.900000	-14.920000
1000000.000000	1158.000000	1000000.000000	-15.770000
1122018.000000	1142.000000	1122018.000000	-16.700000
1258925.000000	1125.000000	1258925.000000	-17.710000
1412537.000000	1107.000000	1412537.000000	-18.820000
1584893.000000	1087.500000	1584893.000000	-20.060000
1778279.000000	1068.000000	1778279.000000	-21.360000
1995262.000000	1047.300000	1995262.000000	-22.750000
2238721.000000	1025.500000	2238721.000000	-24.250000
2511886.000000	1002.500000	2511886.000000	-25.860000
2818382.000000	978.500000	2818382.000000	-27.550000
3162277.000000	953.700000	3162277.000000	-29.340000
3548133.000000	927.800000	3548133.000000	-31.210000
3981071.000000	901.400000	3981071.000000	-33.180000
4466835.000000	874.700000	4466835.000000	-35.230000
5011872.000000	847.900000	5011872.000000	-37.370000
5623413.000000	821.500000	5623413.000000	-39.590000
6309573.000000	796.000000	6309573.000000	-41.940000
7079457.000000	772.000000	7079457.000000	-44.390000
7943282.000000	750.500000	7943282.000000	-47.040000
8912509.000000	731.800000	8912509.000000	-49.930000
1.000000E+7	716.400000	1.000000E+7	-53.190000
