F (Hz),|Z| (Ohms),F (Hz),Theta (Deg)
1000,46690,1000,-4.19
1122.018,46410,1122.018,-4.25
1258.925,46130,1258.925,-4.34
1412.537,45860,1412.537,-4.44
1584.893,45580,1584.893,-4.55
1778.279,45310,1778.279,-4.69
1995.262,45020,1995.262,-4.85
2238.721,44730,2238.721,-5.04
2511.886,44460,2511.886,-5.25
2818.382,44180,2818.382,-5.48
3162.277,43840,3162.277,-5.75
3548.133,43540,3548.133,-6.05
3981.071,43240,3981.071,-6.36
4466.835,42930,4466.835,-6.71
5011.872,42600,5011.872,-7.1
5623.413,42280,5623.413,-7.52
6309.573,41940,6309.573,-7.99
7079.457,41600,7079.457,-8.49
7943.282,41220,7943.282,-9.04
8912.509,40840,8912.509,-9.65
10000,40430,10000,-10.3
11220.18,40020,11220.18,-11.02
12589.25,39580,12589.25,-11.78
14125.37,39110,14125.37,-12.62
15848.93,38620,15848.93,-13.53
17782.79,38090,17782.79,-14.49
19952.62,37370,19952.62,-15.47
22387.21,36780,22387.21,-16.61
25118.86,36160,25118.86,-17.83
28183.82,35500,28183.82,-19.14
31622.77,34800,31622.77,-20.54
35481.33,34040,35481.33,-22.04
39810.71,33200,39810.71,-23.6
44668.35,32340,44668.35,-25.28
50118.72,31420,50118.72,-27.04
56234.13,30450,56234.13,-28.88
63095.73,29410,63095.73,-30.8
70794.57,28330,70794.57,-32.79
79432.82,27200,79432.82,-34.84
89125.09,26030,89125.09,-36.93
100000,24820,100000,-39.06
112201.8,23570,112201.8,-41.2
125892.5,22310,125892.5,-43.34
141253.7,21040,141253.7,-45.46
158489.3,19760,158489.3,-47.56
177827.9,18500,177827.9,-49.61
199526.2,17260,199526.2,-51.6
223872.1,16050,223872.1,-53.53
251188.6,14890,251188.6,-55.38
281838.2,13770,281838.2,-57.15
316227.7,12710,316227.7,-58.83
354813.3,11700,354813.3,-60.44
398107.1,10712,398107.1,-61.93
446683.5,9824,446683.5,-63.36
501187.2,8994,501187.2,-64.71
562341.3,8222,562341.3,-65.98
630957.3,7505,630957.3,-67.16
707945.7,6843,707945.7,-68.28
794328.2,6232,794328.2,-69.33
891250.9,5670,891250.9,-70.3
1000000,5153,1000000,-71.21
1122018,4680,1122018,-72.05
1258925,4248,1258925,-72.83
1412537,3853,1412537,-73.54
1584893,3492,1584893,-74.2
1778279,3165,1778279,-74.81
1995262,2867,1995262,-75.35
2238721,2597,2238721,-75.85
2511886,2353,2511886,-76.3
2818382,2132,2818382,-76.71
3162277,1933,3162277,-77.07
3548133,1754,3548133,-77.39
3981071,1594,3981071,-77.67
4466835,1450,4466835,-77.91
5011872,1321,5011872,-78.12
5623413,1208,5623413,-78.31
6309573,1108,6309573,-78.5
7079457,1017.8,7079457,-78.47
7943282,943.2,7943282,-78.58
8912509,880.7,8912509,-78.73
10000000,830.4,10000000,-78.97
