,|Z|,Theta,Tomato
0,145058.2867724868,-88.08656084656084,0
1,156582.76243386246,-88.6704232804233,0
2,168756.10052910054,-88.9810052910053,0
3,159442.5291005291,-88.69433862433863,0
4,157141.0529100529,-88.41153439153442,0
5,154130.2534391534,-88.71846560846564,0
6,152952.5042328042,-88.52031746031743,0
7,9842.785185185185,-44.48814814814814,1
8,8776.838095238094,-37.32116402116402,1
9,11950.674074074077,-38.71365079365079,1
10,15282.45714285714,-43.41375661375661,1
