F (Hz),|Z| (Ohms),F (Hz),Theta (Deg)
1000,NaN,1000,NaN
1122.018,NaN,1122.018,NaN
1258.925,NaN,1258.925,NaN
1412.537,NaN,1412.537,NaN
1584.893,NaN,1584.893,NaN
1778.279,NaN,1778.279,NaN
1995.262,NaN,1995.262,NaN
2238.721,NaN,2238.721,NaN
2511.886,NaN,2511.886,NaN
2818.382,NaN,2818.382,NaN
3162.277,NaN,3162.277,NaN
3548.133,NaN,3548.133,NaN
3981.071,NaN,3981.071,NaN
4466.835,NaN,4466.835,NaN
5011.872,NaN,5011.872,NaN
5623.413,NaN,5623.413,NaN
6309.573,1194500,6309.573,-87.61
7079.457,1067500,7079.457,-87.59
7943.282,954400,7943.282,-87.59
8912.509,853200,8912.509,-87.61
10000,762500,10000,-87.61
11220.18,681700,11220.18,-87.63
12589.25,609200,12589.25,-87.64
14125.37,544600,14125.37,-87.64
15848.93,486800,15848.93,-87.64
17782.79,435100,17782.79,-87.66
19952.62,389000,19952.62,-87.66
22387.21,347600,22387.21,-87.68
25118.86,310800,25118.86,-87.68
28183.82,277700,28183.82,-87.71
31622.77,248200,31622.77,-87.72
35481.33,221900,35481.33,-87.74
39810.71,198300,39810.71,-87.76
44668.35,177200,44668.35,-87.79
50118.72,158400,50118.72,-87.81
56234.13,141500,56234.13,-87.83
63095.73,126500,63095.73,-87.85
70794.57,113000,70794.57,-87.88
79432.82,100990,79432.82,-87.9
89125.09,90250,89125.09,-87.94
100000,80640,100000,-87.97
112201.8,72050,112201.8,-88
125892.5,64360,125892.5,-88.04
141253.7,57490,141253.7,-88.08
158489.3,51360,158489.3,-88.09
177827.9,45870,177827.9,-88.12
199526.2,40970,199526.2,-88.14
223872.1,36600,223872.1,-88.17
251188.6,32690,251188.6,-88.22
281838.2,29200,281838.2,-88.24
316227.7,26080,316227.7,-88.26
354813.3,23290,354813.3,-88.29
398107.1,20800,398107.1,-88.31
446683.5,18570,446683.5,-88.34
501187.2,16580,501187.2,-88.35
562341.3,14810,562341.3,-88.37
630957.3,13220,630957.3,-88.39
707945.7,11810,707945.7,-88.41
794328.2,10521,794328.2,-88.41
891250.9,9397,891250.9,-88.42
1000000,8394,1000000,-88.44
1122018,7498,1122018,-88.45
1258925,6699,1258925,-88.45
1412537,5986,1412537,-88.46
1584893,5350,1584893,-88.46
1778279,4783,1778279,-88.46
1995262,4277,1995262,-88.46
2238721,3827,2238721,-88.46
2511886,3425,2511886,-88.45
2818382,3068,2818382,-88.45
3162277,2750,3162277,-88.44
3548133,2468,3548133,-88.43
3981071,2217,3981071,-88.42
4466835,1995,4466835,-88.4
5011872,1799,5011872,-88.38
5623413,1627,5623413,-88.37
6309573,1475,6309573,-88.36
7079457,1344,7079457,-88.38
7943282,1230,7943282,-88.4
8912509,1133,8912509,-88.47
10000000,1049,10000000,-87.96
