F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
1000.000000	NaN	1000.000000	NaN
1122.018000	NaN	1122.018000	NaN
1258.925000	NaN	1258.925000	NaN
1412.537000	NaN	1412.537000	NaN
1584.893000	NaN	1584.893000	NaN
1778.279000	NaN	1778.279000	NaN
1995.262000	NaN	1995.262000	NaN
2238.721000	NaN	2238.721000	NaN
2511.886000	NaN	2511.886000	NaN
2818.382000	NaN	2818.382000	NaN
3162.277000	NaN	3162.277000	NaN
3548.133000	NaN	3548.133000	NaN
3981.071000	NaN	3981.071000	NaN
4466.835000	NaN	4466.835000	NaN
5011.872000	NaN	5011.872000	NaN
5623.413000	NaN	5623.413000	NaN
6309.573000	NaN	6309.573000	NaN
7079.457000	1162400.000000	7079.457000	-86.440000
7943.282000	1039300.000000	7943.282000	-86.610000
8912.509000	928700.000000	8912.509000	-86.800000
10000.000000	830000.000000	10000.000000	-86.950000
11220.180000	741800.000000	11220.180000	-87.110000
12589.250000	662900.000000	12589.250000	-87.240000
14125.370000	592200.000000	14125.370000	-87.360000
15848.930000	529100.000000	15848.930000	-87.480000
17782.790000	472700.000000	17782.790000	-87.570000
19952.620000	422200.000000	19952.620000	-87.650000
22387.210000	377100.000000	22387.210000	-87.750000
25118.860000	336900.000000	25118.860000	-87.810000
28183.820000	300900.000000	28183.820000	-87.880000
31622.770000	268700.000000	31622.770000	-87.950000
35481.330000	240000.000000	35481.330000	-88.010000
39810.710000	214400.000000	39810.710000	-88.040000
44668.350000	191500.000000	44668.350000	-88.110000
50118.720000	171000.000000	50118.720000	-88.160000
56234.130000	152700.000000	56234.130000	-88.230000
63095.730000	136400.000000	63095.730000	-88.270000
70794.570000	121800.000000	70794.570000	-88.320000
79432.820000	108750.000000	79432.820000	-88.360000
89125.090000	97110.000000	89125.090000	-88.410000
100000.000000	86710.000000	100000.000000	-88.450000
112201.800000	77420.000000	112201.800000	-88.500000
125892.500000	69120.000000	125892.500000	-88.540000
141253.700000	61690.000000	141253.700000	-88.570000
158489.300000	55070.000000	158489.300000	-88.610000
177827.900000	49160.000000	177827.900000	-88.640000
199526.200000	43880.000000	199526.200000	-88.660000
223872.100000	39170.000000	223872.100000	-88.690000
251188.600000	34970.000000	251188.600000	-88.720000
281838.200000	31210.000000	281838.200000	-88.740000
316227.700000	27860.000000	316227.700000	-88.770000
354813.300000	24870.000000	354813.300000	-88.790000
398107.100000	22190.000000	398107.100000	-88.810000
446683.500000	19810.000000	446683.500000	-88.840000
501187.200000	17680.000000	501187.200000	-88.860000
562341.300000	15780.000000	562341.300000	-88.870000
630957.300000	14080.000000	630957.300000	-88.890000
707945.700000	12570.000000	707945.700000	-88.910000
794328.200000	11220.000000	794328.200000	-88.920000
891250.900000	9988.000000	891250.900000	-88.920000
1000000.000000	8917.000000	1000000.000000	-88.940000
1122018.000000	7962.000000	1122018.000000	-88.950000
1258925.000000	7109.000000	1258925.000000	-88.950000
1412537.000000	6348.000000	1412537.000000	-88.960000
1584893.000000	5671.000000	1584893.000000	-88.960000
1778279.000000	5067.000000	1778279.000000	-88.970000
1995262.000000	4528.000000	1995262.000000	-88.970000
2238721.000000	4049.000000	2238721.000000	-88.970000
2511886.000000	3621.000000	2511886.000000	-88.970000
2818382.000000	3241.000000	2818382.000000	-88.970000
3162277.000000	2904.000000	3162277.000000	-88.970000
3548133.000000	2603.000000	3548133.000000	-88.980000
3981071.000000	2337.000000	3981071.000000	-88.970000
4466835.000000	2101.000000	4466835.000000	-88.970000
5011872.000000	1893.000000	5011872.000000	-88.970000
5623413.000000	1709.000000	5623413.000000	-88.970000
6309573.000000	1548.000000	6309573.000000	-88.980000
7079457.000000	1407.000000	7079457.000000	-89.010000
7943282.000000	1285.000000	7943282.000000	-89.050000
8912509.000000	1180.000000	8912509.000000	-89.130000
1.000000E+7	1088.000000	1.000000E+7	-88.680000
