F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
1000.000000	NaN	1000.000000	NaN
1122.018000	NaN	1122.018000	NaN
1258.925000	NaN	1258.925000	NaN
1412.537000	NaN	1412.537000	NaN
1584.893000	NaN	1584.893000	NaN
1778.279000	NaN	1778.279000	NaN
1995.262000	NaN	1995.262000	NaN
2238.721000	NaN	2238.721000	NaN
2511.886000	NaN	2511.886000	NaN
2818.382000	NaN	2818.382000	NaN
3162.277000	NaN	3162.277000	NaN
3548.133000	NaN	3548.133000	NaN
3981.071000	NaN	3981.071000	NaN
4466.835000	NaN	4466.835000	NaN
5011.872000	NaN	5011.872000	NaN
5623.413000	NaN	5623.413000	NaN
6309.573000	NaN	6309.573000	NaN
7079.457000	1205000.000000	7079.457000	-88.800000
7943.282000	1075000.000000	7943.282000	-88.800000
8912.509000	960000.000000	8912.509000	-88.800000
10000.000000	857000.000000	10000.000000	-88.800000
11220.180000	765000.000000	11220.180000	-88.700000
12589.250000	683000.000000	12589.250000	-88.700000
14125.370000	610000.000000	14125.370000	-88.700000
15848.930000	545000.000000	15848.930000	-88.700000
17782.790000	486000.000000	17782.790000	-88.700000
19952.620000	434000.000000	19952.620000	-88.700000
22387.210000	388000.000000	22387.210000	-88.700000
25118.860000	346000.000000	25118.860000	-88.700000
28183.820000	309000.000000	28183.820000	-88.700000
31622.770000	276000.000000	31622.770000	-88.700000
35481.330000	246000.000000	35481.330000	-88.700000
39810.710000	220000.000000	39810.710000	-88.700000
44668.350000	196000.000000	44668.350000	-88.800000
50118.720000	175000.000000	50118.720000	-88.800000
56234.130000	157000.000000	56234.130000	-88.800000
63095.730000	140000.000000	63095.730000	-88.800000
70794.570000	125000.000000	70794.570000	-88.800000
79432.820000	111000.000000	79432.820000	-88.800000
89125.090000	99350.000000	89125.090000	-88.880000
100000.000000	88690.000000	100000.000000	-88.910000
112201.800000	79150.000000	112201.800000	-88.940000
125892.500000	70640.000000	125892.500000	-88.970000
141253.700000	63040.000000	141253.700000	-88.930000
158489.300000	56240.000000	158489.300000	-89.000000
177827.900000	50180.000000	177827.900000	-89.030000
199526.200000	44770.000000	199526.200000	-89.050000
223872.100000	39950.000000	223872.100000	-89.060000
251188.600000	35640.000000	251188.600000	-89.080000
281838.200000	31810.000000	281838.200000	-89.100000
316227.700000	28380.000000	316227.700000	-89.120000
354813.300000	25320.000000	354813.300000	-89.120000
398107.100000	22600.000000	398107.100000	-89.140000
446683.500000	20160.000000	446683.500000	-89.150000
501187.200000	17990.000000	501187.200000	-89.160000
562341.300000	16050.000000	562341.300000	-89.170000
630957.300000	14320.000000	630957.300000	-89.180000
707945.700000	12780.000000	707945.700000	-89.190000
794328.200000	11400.000000	794328.200000	-89.190000
891250.900000	10147.000000	891250.900000	-89.190000
1000000.000000	9058.000000	1000000.000000	-89.210000
1122018.000000	8085.000000	1122018.000000	-89.210000
1258925.000000	7217.000000	1258925.000000	-89.210000
1412537.000000	6443.000000	1412537.000000	-89.210000
1584893.000000	5754.000000	1584893.000000	-89.210000
1778279.000000	5139.000000	1778279.000000	-89.210000
1995262.000000	4592.000000	1995262.000000	-89.210000
2238721.000000	4104.000000	2238721.000000	-89.210000
2511886.000000	3670.000000	2511886.000000	-89.210000
2818382.000000	3284.000000	2818382.000000	-89.210000
3162277.000000	2941.000000	3162277.000000	-89.220000
3548133.000000	2635.000000	3548133.000000	-89.220000
3981071.000000	2365.000000	3981071.000000	-89.220000
4466835.000000	2125.000000	4466835.000000	-89.210000
5011872.000000	1913.000000	5011872.000000	-89.210000
5623413.000000	1725.000000	5623413.000000	-89.200000
6309573.000000	1561.000000	6309573.000000	-89.220000
7079457.000000	1418.000000	7079457.000000	-89.240000
7943282.000000	1293.000000	7943282.000000	-89.290000
8912509.000000	1185.000000	8912509.000000	-89.360000
1.000000E+7	1089.000000	1.000000E+7	-88.940000
