F (Hz),|Z| (Ohms),F (Hz),Theta (Deg)
1000,NaN,1000,NaN
1122.018,NaN,1122.018,NaN
1258.925,NaN,1258.925,NaN
1412.537,NaN,1412.537,NaN
1584.893,NaN,1584.893,NaN
1778.279,NaN,1778.279,NaN
1995.262,NaN,1995.262,NaN
2238.721,NaN,2238.721,NaN
2511.886,NaN,2511.886,NaN
2818.382,NaN,2818.382,NaN
3162.277,NaN,3162.277,NaN
3548.133,NaN,3548.133,NaN
3981.071,NaN,3981.071,NaN
4466.835,NaN,4466.835,NaN
5011.872,NaN,5011.872,NaN
5623.413,NaN,5623.413,NaN
6309.573,NaN,6309.573,NaN
7079.457,1181800,7079.457,-88.24
7943.282,1055300,7943.282,-88.24
8912.509,942700,8912.509,-88.26
10000,841100,10000,-88.28
11220.18,751700,11220.18,-88.31
12589.25,671100,12589.25,-88.31
14125.37,599300,14125.37,-88.32
15848.93,535300,15848.93,-88.33
17782.79,478100,17782.79,-88.35
19952.62,427000,19952.62,-88.38
22387.21,381300,22387.21,-88.39
25118.86,340600,25118.86,-88.4
28183.82,304100,28183.82,-88.42
31622.77,271600,31622.77,-88.44
35481.33,242500,35481.33,-88.46
39810.71,216600,39810.71,-88.47
44668.35,193400,44668.35,-88.51
50118.72,172700,50118.72,-88.53
56234.13,154200,56234.13,-88.55
63095.73,137700,63095.73,-88.58
70794.57,122900,70794.57,-88.6
79432.82,109720,79432.82,-88.62
89125.09,97960,89125.09,-88.66
100000,87460,100000,-88.7
112201.8,78070,112201.8,-88.73
125892.5,69680,125892.5,-88.75
141253.7,62190,141253.7,-88.77
158489.3,55490,158489.3,-88.8
177827.9,49520,177827.9,-88.82
199526.2,44200,199526.2,-88.84
223872.1,39440,223872.1,-88.86
251188.6,35200,251188.6,-88.88
281838.2,31420,281838.2,-88.9
316227.7,28040,316227.7,-88.92
354813.3,24970,354813.3,-88.91
398107.1,22280,398107.1,-88.93
446683.5,19890,446683.5,-88.95
501187.2,17750,501187.2,-88.96
562341.3,15840,562341.3,-88.98
630957.3,14140,630957.3,-89
707945.7,12620,707945.7,-89.01
794328.2,11260,794328.2,-89.02
891250.9,10026,891250.9,-89.02
1000000,8950,1000000,-89.03
1122018,7991,1122018,-89.04
1258925,7134,1258925,-89.05
1412537,6370,1412537,-89.05
1584893,5690,1584893,-89.06
1778279,5083,1778279,-89.06
1995262,4542,1995262,-89.06
2238721,4060,2238721,-89.06
2511886,3632,2511886,-89.07
2818382,3250,2818382,-89.07
3162277,2911,3162277,-89.07
3548133,2609,3548133,-89.07
3981071,2341,3981071,-89.07
4466835,2104,4466835,-89.07
5011872,1895,5011872,-89.07
5623413,1710,5623413,-89.07
6309573,1547,6309573,-89.08
7079457,1405,7079457,-89.11
7943282,1282,7943282,-89.16
8912509,1175,8912509,-89.23
10000000,1081.2,10000000,-88.79
