F (Hz),|Z| (Ohms),F (Hz),Theta (Deg)
1000,NaN,1000,NaN
1122.018,NaN,1122.018,NaN
1258.925,NaN,1258.925,NaN
1412.537,NaN,1412.537,NaN
1584.893,NaN,1584.893,NaN
1778.279,NaN,1778.279,NaN
1995.262,NaN,1995.262,NaN
2238.721,NaN,2238.721,NaN
2511.886,NaN,2511.886,NaN
2818.382,NaN,2818.382,NaN
3162.277,NaN,3162.277,NaN
3548.133,NaN,3548.133,NaN
3981.071,NaN,3981.071,NaN
4466.835,NaN,4466.835,NaN
5011.872,NaN,5011.872,NaN
5623.413,NaN,5623.413,NaN
6309.573,1183000,6309.573,-86.4
7079.457,1059000,7079.457,-86.4
7943.282,947000,7943.282,-86.4
8912.509,848000,8912.509,-86.5
10000,760000,10000,-86.5
11220.18,680000,11220.18,-86.6
12589.25,609000,12589.25,-86.6
14125.37,545000,14125.37,-86.6
15848.93,488000,15848.93,-86.7
17782.79,437000,17782.79,-86.7
19952.62,391000,19952.62,-86.8
22387.21,350000,22387.21,-86.8
25118.86,313000,25118.86,-86.9
28183.82,280000,28183.82,-86.9
31622.77,251000,31622.77,-87
35481.33,224000,35481.33,-87
39810.71,201000,39810.71,-87.1
44668.35,179000,44668.35,-87.1
50118.72,161000,50118.72,-87.2
56234.13,144000,56234.13,-87.2
63095.73,128000,63095.73,-87.3
70794.57,115000,70794.57,-87.3
79432.82,102590,79432.82,-87.39
89125.09,91750,89125.09,-87.45
100000,82030,100000,-87.49
112201.8,73340,112201.8,-87.55
125892.5,65560,125892.5,-87.61
141253.7,58620,141253.7,-87.63
158489.3,52380,158489.3,-87.72
177827.9,46800,177827.9,-87.76
199526.2,41830,199526.2,-87.81
223872.1,37370,223872.1,-87.85
251188.6,33390,251188.6,-87.9
281838.2,29840,281838.2,-87.95
316227.7,26660,316227.7,-87.99
354813.3,23820,354813.3,-88.02
398107.1,21280,398107.1,-88.06
446683.5,19010,446683.5,-88.1
501187.2,16980,501187.2,-88.13
562341.3,15170,562341.3,-88.17
630957.3,13550,630957.3,-88.22
707945.7,12110,707945.7,-88.25
794328.2,10784,794328.2,-88.25
891250.9,9636,891250.9,-88.27
1000000,8610,1000000,-88.28
1122018,7694,1122018,-88.3
1258925,6877,1258925,-88.31
1412537,6149,1412537,-88.32
1584893,5499,1584893,-88.32
1778279,4919,1778279,-88.32
1995262,4403,1995262,-88.31
2238721,3942,2238721,-88.31
2511886,3533,2511886,-88.3
2818382,3170,2818382,-88.3
3162277,2847,3162277,-88.28
3548133,2561,3548133,-88.26
3981071,2308,3981071,-88.23
4466835,2086,4466835,-88.18
5011872,1891,5011872,-88.14
5623413,1722,5623413,-88.1
6309573,1577,6309573,-88.06
7079457,1455,7079457,-88.03
7943282,1357,7943282,-88.03
8912509,1283,8912509,-88.04
10000000,1240,10000000,-88.11
