F (Hz),|Z| (Ohms),F (Hz),Theta (Deg)
1000,NaN,1000,NaN
1122.018,NaN,1122.018,NaN
1258.925,NaN,1258.925,NaN
1412.537,NaN,1412.537,NaN
1584.893,NaN,1584.893,NaN
1778.279,NaN,1778.279,NaN
1995.262,NaN,1995.262,NaN
2238.721,NaN,2238.721,NaN
2511.886,NaN,2511.886,NaN
2818.382,NaN,2818.382,NaN
3162.277,NaN,3162.277,NaN
3548.133,NaN,3548.133,NaN
3981.071,NaN,3981.071,NaN
4466.835,NaN,4466.835,NaN
5011.872,NaN,5011.872,NaN
5623.413,NaN,5623.413,NaN
6309.573,1187000,6309.573,-87.51
7079.457,1060700,7079.457,-87.5
7943.282,948000,7943.282,-87.51
8912.509,847400,8912.509,-87.5
10000,757400,10000,-87.51
11220.18,676900,11220.18,-87.49
12589.25,605000,12589.25,-87.48
14125.37,540800,14125.37,-87.47
15848.93,483400,15848.93,-87.46
17782.79,432200,17782.79,-87.46
19952.62,386300,19952.62,-87.45
22387.21,345300,22387.21,-87.44
25118.86,308700,25118.86,-87.43
28183.82,276000,28183.82,-87.42
31622.77,246700,31622.77,-87.42
35481.33,220600,35481.33,-87.41
39810.71,197300,39810.71,-87.41
44668.35,176400,44668.35,-87.42
50118.72,157700,50118.72,-87.43
56234.13,141000,56234.13,-87.43
63095.73,126100,63095.73,-87.44
70794.57,112800,70794.57,-87.45
79432.82,100820,79432.82,-87.47
89125.09,90160,89125.09,-87.5
100000,80620,100000,-87.54
112201.8,72080,112201.8,-87.57
125892.5,64440,125892.5,-87.61
141253.7,57610,141253.7,-87.66
158489.3,51480,158489.3,-87.69
177827.9,46010,177827.9,-87.74
199526.2,41120,199526.2,-87.78
223872.1,36750,223872.1,-87.82
251188.6,32840,251188.6,-87.87
281838.2,29350,281838.2,-87.91
316227.7,26220,316227.7,-87.96
354813.3,23430,354813.3,-88
398107.1,20930,398107.1,-88.05
446683.5,18700,446683.5,-88.08
501187.2,16700,501187.2,-88.13
562341.3,14930,562341.3,-88.15
630957.3,13340,630957.3,-88.23
707945.7,11910,707945.7,-88.26
794328.2,10611,794328.2,-88.27
891250.9,9480,891250.9,-88.3
1000000,8469,1000000,-88.32
1122018,7567,1122018,-88.34
1258925,6763,1258925,-88.35
1412537,6046,1412537,-88.37
1584893,5406,1584893,-88.38
1778279,4836,1778279,-88.39
1995262,4329,1995262,-88.38
2238721,3877,2238721,-88.39
2511886,3474,2511886,-88.38
2818382,3117,2818382,-88.38
3162277,2800,3162277,-88.37
3548133,2520,3548133,-88.35
3981071,2273,3981071,-88.34
4466835,2055,4466835,-88.31
5011872,1866,5011872,-88.28
5623413,1701,5623413,-88.25
6309573,1562,6309573,-88.23
7079457,1445,7079457,-88.21
7943282,1353,7943282,-88.21
8912509,1289,8912509,-88.25
10000000,1257,10000000,-88.35
