F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
1000.000000	NaN	1000.000000	NaN
1122.018000	NaN	1122.018000	NaN
1258.925000	NaN	1258.925000	NaN
1412.537000	NaN	1412.537000	NaN
1584.893000	NaN	1584.893000	NaN
1778.279000	NaN	1778.279000	NaN
1995.262000	NaN	1995.262000	NaN
2238.721000	NaN	2238.721000	NaN
2511.886000	NaN	2511.886000	NaN
2818.382000	NaN	2818.382000	NaN
3162.277000	NaN	3162.277000	NaN
3548.133000	NaN	3548.133000	NaN
3981.071000	NaN	3981.071000	NaN
4466.835000	NaN	4466.835000	NaN
5011.872000	NaN	5011.872000	NaN
5623.413000	NaN	5623.413000	NaN
6309.573000	NaN	6309.573000	NaN
7079.457000	1181300.000000	7079.457000	-87.370000
7943.282000	1056000.000000	7943.282000	-87.430000
8912.509000	944200.000000	8912.509000	-87.480000
10000.000000	843900.000000	10000.000000	-87.550000
11220.180000	754200.000000	11220.180000	-87.590000
12589.250000	674200.000000	12589.250000	-87.650000
14125.370000	602500.000000	14125.370000	-87.700000
15848.930000	538500.000000	15848.930000	-87.730000
17782.790000	481100.000000	17782.790000	-87.780000
19952.620000	429900.000000	19952.620000	-87.820000
22387.210000	384100.000000	22387.210000	-87.850000
25118.860000	343200.000000	25118.860000	-87.890000
28183.820000	306700.000000	28183.820000	-87.920000
31622.770000	274000.000000	31622.770000	-87.950000
35481.330000	244800.000000	35481.330000	-87.990000
39810.710000	218700.000000	39810.710000	-88.010000
44668.350000	195300.000000	44668.350000	-88.060000
50118.720000	174500.000000	50118.720000	-88.080000
56234.130000	155900.000000	56234.130000	-88.110000
63095.730000	139200.000000	63095.730000	-88.140000
70794.570000	124400.000000	70794.570000	-88.160000
79432.820000	111100.000000	79432.820000	-88.180000
89125.090000	99210.000000	89125.090000	-88.250000
100000.000000	88620.000000	100000.000000	-88.280000
112201.800000	79160.000000	112201.800000	-88.310000
125892.500000	70690.000000	125892.500000	-88.340000
141253.700000	63140.000000	141253.700000	-88.370000
158489.300000	56360.000000	158489.300000	-88.390000
177827.900000	50320.000000	177827.900000	-88.420000
199526.200000	44940.000000	199526.200000	-88.430000
223872.100000	40120.000000	223872.100000	-88.450000
251188.600000	35830.000000	251188.600000	-88.470000
281838.200000	31990.000000	281838.200000	-88.490000
316227.700000	28570.000000	316227.700000	-88.510000
354813.300000	25510.000000	354813.300000	-88.530000
398107.100000	22780.000000	398107.100000	-88.540000
446683.500000	20340.000000	446683.500000	-88.560000
501187.200000	18160.000000	501187.200000	-88.580000
562341.300000	16220.000000	562341.300000	-88.590000
630957.300000	14480.000000	630957.300000	-88.600000
707945.700000	12930.000000	707945.700000	-88.620000
794328.200000	11550.000000	794328.200000	-88.630000
891250.900000	10285.000000	891250.900000	-88.620000
1000000.000000	9187.000000	1000000.000000	-88.630000
1122018.000000	8207.000000	1122018.000000	-88.630000
1258925.000000	7333.000000	1258925.000000	-88.640000
1412537.000000	6554.000000	1412537.000000	-88.640000
1584893.000000	5859.000000	1584893.000000	-88.630000
1778279.000000	5240.000000	1778279.000000	-88.630000
1995262.000000	4689.000000	1995262.000000	-88.620000
2238721.000000	4199.000000	2238721.000000	-88.610000
2511886.000000	3763.000000	2511886.000000	-88.610000
2818382.000000	3375.000000	2818382.000000	-88.600000
3162277.000000	3032.000000	3162277.000000	-88.580000
3548133.000000	2728.000000	3548133.000000	-88.570000
3981071.000000	2459.000000	3981071.000000	-88.550000
4466835.000000	2223.000000	4466835.000000	-88.530000
5011872.000000	2017.000000	5011872.000000	-88.500000
5623413.000000	1838.000000	5623413.000000	-88.480000
6309573.000000	1686.000000	6309573.000000	-88.460000
7079457.000000	1558.000000	7079457.000000	-88.460000
7943282.000000	1457.000000	7943282.000000	-88.480000
8912509.000000	1384.000000	8912509.000000	-88.540000
1.000000E+7	1345.000000	1.000000E+7	-88.670000
