F (Hz),|Z| (Ohms),F (Hz),Theta (Deg)
1000,NaN,1000,NaN
1122.018,NaN,1122.018,NaN
1258.925,NaN,1258.925,NaN
1412.537,NaN,1412.537,NaN
1584.893,NaN,1584.893,NaN
1778.279,NaN,1778.279,NaN
1995.262,NaN,1995.262,NaN
2238.721,NaN,2238.721,NaN
2511.886,NaN,2511.886,NaN
2818.382,NaN,2818.382,NaN
3162.277,NaN,3162.277,NaN
3548.133,NaN,3548.133,NaN
3981.071,NaN,3981.071,NaN
4466.835,NaN,4466.835,NaN
5011.872,NaN,5011.872,NaN
5623.413,NaN,5623.413,NaN
6309.573,1229200,6309.573,-87.3
7079.457,1099400,7079.457,-87.3
7943.282,983100,7943.282,-87.3
8912.509,879500,8912.509,-87.3
10000,786400,10000,-87.32
11220.18,703200,11220.18,-87.33
12589.25,629000,12589.25,-87.33
14125.37,562500,14125.37,-87.35
15848.93,503100,15848.93,-87.35
17782.79,449900,17782.79,-87.37
19952.62,402300,19952.62,-87.38
22387.21,359800,22387.21,-87.4
25118.86,321700,25118.86,-87.41
28183.82,287600,28183.82,-87.43
31622.77,257200,31622.77,-87.45
35481.33,229900,35481.33,-87.47
39810.71,205600,39810.71,-87.49
44668.35,183800,44668.35,-87.52
50118.72,164300,50118.72,-87.55
56234.13,146900,56234.13,-87.57
63095.73,131300,63095.73,-87.59
70794.57,117400,70794.57,-87.62
79432.82,104960,79432.82,-87.65
89125.09,93830,89125.09,-87.69
100000,83870,100000,-87.72
112201.8,74960,112201.8,-87.76
125892.5,66990,125892.5,-87.8
141253.7,59870,141253.7,-87.84
158489.3,53490,158489.3,-87.86
177827.9,47790,177827.9,-87.89
199526.2,42710,199526.2,-87.92
223872.1,38160,223872.1,-87.95
251188.6,34090,251188.6,-87.97
281838.2,30460,281838.2,-88
316227.7,27220,316227.7,-88.03
354813.3,24320,354813.3,-88.06
398107.1,21720,398107.1,-88.08
446683.5,19410,446683.5,-88.11
501187.2,17340,501187.2,-88.14
562341.3,15490,562341.3,-88.16
630957.3,13840,630957.3,-88.18
707945.7,12360,707945.7,-88.22
794328.2,11050,794328.2,-88.24
891250.9,9842,891250.9,-88.24
1000000,8795,1000000,-88.25
1122018,7861,1122018,-88.27
1258925,7027,1258925,-88.27
1412537,6283,1412537,-88.28
1584893,5619,1584893,-88.28
1778279,5028,1778279,-88.27
1995262,4501,1995262,-88.27
2238721,4032,2238721,-88.26
2511886,3615,2511886,-88.25
2818382,3244,2818382,-88.24
3162277,2915,3162277,-88.23
3548133,2624,3548133,-88.19
3981071,2367,3981071,-88.16
4466835,2142,4466835,-88.13
5011872,1944,5011872,-88.1
5623413,1774,5623413,-88.06
6309573,1628,6309573,-88.04
7079457,1507,7079457,-88.02
7943282,1412,7943282,-88.02
8912509,1344,8912509,-88.06
10000000,1311,10000000,-88.18
