F (Hz),|Z| (Ohms),F (Hz),Theta (Deg)
1000,NaN,1000,NaN
1122.018,NaN,1122.018,NaN
1258.925,NaN,1258.925,NaN
1412.537,NaN,1412.537,NaN
1584.893,NaN,1584.893,NaN
1778.279,NaN,1778.279,NaN
1995.262,NaN,1995.262,NaN
2238.721,NaN,2238.721,NaN
2511.886,NaN,2511.886,NaN
2818.382,NaN,2818.382,NaN
3162.277,NaN,3162.277,NaN
3548.133,NaN,3548.133,NaN
3981.071,NaN,3981.071,NaN
4466.835,NaN,4466.835,NaN
5011.872,NaN,5011.872,NaN
5623.413,NaN,5623.413,NaN
6309.573,NaN,6309.573,NaN
7079.457,1221000,7079.457,-88.4
7943.282,1090000,7943.282,-88.4
8912.509,974000,8912.509,-88.4
10000,869000,10000,-88.4
11220.18,776000,11220.18,-88.5
12589.25,692000,12589.25,-88.4
14125.37,619000,14125.37,-88.5
15848.93,553000,15848.93,-88.4
17782.79,494000,17782.79,-88.5
19952.62,441000,19952.62,-88.5
22387.21,394000,22387.21,-88.5
25118.86,352000,25118.86,-88.5
28183.82,314000,28183.82,-88.5
31622.77,280000,31622.77,-88.5
35481.33,250000,35481.33,-88.5
39810.71,224000,39810.71,-88.5
44668.35,200000,44668.35,-88.5
50118.72,178000,50118.72,-88.5
56234.13,159000,56234.13,-88.5
63095.73,142000,63095.73,-88.6
70794.57,127000,70794.57,-88.6
79432.82,113000,79432.82,-88.6
89125.09,101120,89125.09,-88.6
100000,90310,100000,-88.6
112201.8,80640,112201.8,-88.62
125892.5,71980,125892.5,-88.65
141253.7,64260,141253.7,-88.69
158489.3,57370,158489.3,-88.66
177827.9,51210,177827.9,-88.68
199526.2,45720,199526.2,-88.68
223872.1,40810,223872.1,-88.7
251188.6,36430,251188.6,-88.71
281838.2,32520,281838.2,-88.72
316227.7,29030,316227.7,-88.73
354813.3,25920,354813.3,-88.74
398107.1,23140,398107.1,-88.75
446683.5,20660,446683.5,-88.76
501187.2,18440,501187.2,-88.77
562341.3,16460,562341.3,-88.78
630957.3,14700,630957.3,-88.79
707945.7,13120,707945.7,-88.8
794328.2,11720,794328.2,-88.8
891250.9,10433,891250.9,-88.79
1000000,9319,1000000,-88.79
1122018,8324,1122018,-88.79
1258925,7437,1258925,-88.79
1412537,6646,1412537,-88.79
1584893,5942,1584893,-88.79
1778279,5314,1778279,-88.78
1995262,4755,1995262,-88.77
2238721,4257,2238721,-88.77
2511886,3815,2511886,-88.76
2818382,3423,2818382,-88.75
3162277,3074,3162277,-88.75
3548133,2766,3548133,-88.73
3981071,2494,3981071,-88.71
4466835,2256,4466835,-88.69
5011872,2047,5011872,-88.67
5623413,1867,5623413,-88.64
6309573,1714,6309573,-88.63
7079457,1587,7079457,-88.63
7943282,1486,7943282,-88.66
8912509,1416,8912509,-88.72
10000000,1383,10000000,-88.85
