F (Hz),|Z| (Ohms),F (Hz),Theta (Deg)
1000,37900,1000,-4.26
1122.018,37560,1122.018,-4.32
1258.925,37320,1258.925,-4.39
1412.537,37120,1412.537,-4.49
1584.893,36750,1584.893,-4.61
1778.279,36510,1778.279,-4.75
1995.262,36270,1995.262,-4.87
2238.721,35950,2238.721,-5.02
2511.886,35690,2511.886,-5.21
2818.382,35440,2818.382,-5.4
3162.277,35150,3162.277,-5.64
3548.133,34830,3548.133,-5.92
3981.071,34550,3981.071,-6.23
4466.835,34290,4466.835,-6.56
5011.872,33960,5011.872,-6.85
5623.413,33720,5623.413,-7.31
6309.573,33490,6309.573,-7.75
7079.457,33210,7079.457,-8.23
7943.282,32960,7943.282,-8.77
8912.509,32710,8912.509,-9.38
10000,32430,10000,-10.02
11220.18,32150,11220.18,-10.74
12589.25,31820,12589.25,-11.5
14125.37,31490,14125.37,-12.33
15848.93,31160,15848.93,-13.27
17782.79,30810,17782.79,-14.26
19952.62,30410,19952.62,-15.29
22387.21,29970,22387.21,-16.42
25118.86,29500,25118.86,-17.64
28183.82,29000,28183.82,-18.96
31622.77,28480,31622.77,-20.36
35481.33,27880,35481.33,-21.82
39810.71,27210,39810.71,-23.36
44668.35,26520,44668.35,-24.99
50118.72,25780,50118.72,-26.68
56234.13,25000,56234.13,-28.44
63095.73,24160,63095.73,-30.24
70794.57,23280,70794.57,-32.1
79432.82,22360,79432.82,-34.02
89125.09,21410,89125.09,-35.96
100000,20440,100000,-37.9
112201.8,19440,112201.8,-39.86
125892.5,18430,125892.5,-41.77
141253.7,17420,141253.7,-43.69
158489.3,16410,158489.3,-45.58
177827.9,15410,177827.9,-47.44
199526.2,14430,199526.2,-49.23
223872.1,13470,223872.1,-50.98
251188.6,12540,251188.6,-52.65
281838.2,11660,281838.2,-54.26
316227.7,10768,316227.7,-55.83
354813.3,9949,354813.3,-57.26
398107.1,9194,398107.1,-58.68
446683.5,8481,446683.5,-60.03
501187.2,7811,501187.2,-61.33
562341.3,7182,562341.3,-62.57
630957.3,6594,630957.3,-63.74
707945.7,6045,707945.7,-64.86
794328.2,5534,794328.2,-65.92
891250.9,5061,891250.9,-66.93
1000000,4622,1000000,-67.87
1122018,4219,1122018,-68.78
1258925,3846,1258925,-69.62
1412537,3503,1412537,-70.41
1584893,3188,1584893,-71.15
1778279,2899,1778279,-71.82
1995262,2636,1995262,-72.45
2238721,2395,2238721,-73.01
2511886,2176,2511886,-73.53
2818382,1977,2818382,-74
3162277,1796,3162277,-74.42
3548133,1633,3548133,-74.8
3981071,1485,3981071,-75.14
4466835,1352,4466835,-75.41
5011872,1232,5011872,-75.7
5623413,1125,5623413,-75.98
6309573,1026.8,6309573,-76.17
7079457,941.4,7079457,-76.45
7943282,865.4,7943282,-76.79
8912509,797.4,8912509,-77.23
10000000,736.2,10000000,-77.88
