F (Hz),|Z| (Ohms),F (Hz),Theta (Deg)
1000,84400,1000,-7.75
1122.018,83560,1122.018,-8.06
1258.925,82740,1258.925,-8.39
1412.537,81950,1412.537,-8.78
1584.893,81100,1584.893,-9.13
1778.279,80110,1778.279,-9.59
1995.262,79250,1995.262,-10.02
2238.721,78300,2238.721,-10.49
2511.886,77320,2511.886,-11
2818.382,76290,2818.382,-11.52
3162.277,75240,3162.277,-12.06
3548.133,74150,3548.133,-12.63
3981.071,72970,3981.071,-13.24
4466.835,71800,4466.835,-13.86
5011.872,70630,5011.872,-14.54
5623.413,69410,5623.413,-15.23
6309.573,68170,6309.573,-15.96
7079.457,66920,7079.457,-16.74
7943.282,65630,7943.282,-17.56
8912.509,64320,8912.509,-18.45
10000,62960,10000,-19.36
11220.18,61550,11220.18,-20.32
12589.25,60130,12589.25,-21.35
14125.37,58670,14125.37,-22.44
15848.93,57170,15848.93,-23.58
17782.79,55620,17782.79,-24.79
19952.62,54040,19952.62,-26.05
22387.21,52410,22387.21,-27.38
25118.86,50740,25118.86,-28.77
28183.82,49010,28183.82,-30.2
31622.77,47250,31622.77,-31.69
35481.33,45450,35481.33,-33.22
39810.71,43600,39810.71,-34.75
44668.35,41730,44668.35,-36.37
50118.72,39840,50118.72,-38.01
56234.13,37950,56234.13,-39.66
63095.73,36050,63095.73,-41.33
70794.57,34150,70794.57,-43.01
79432.82,32270,79432.82,-44.66
89125.09,30420,89125.09,-46.35
100000,28590,100000,-48
112201.8,26810,112201.8,-49.64
125892.5,25080,125892.5,-51.24
141253.7,23400,141253.7,-52.8
158489.3,21790,158489.3,-54.36
177827.9,20240,177827.9,-55.86
199526.2,18760,199526.2,-57.32
223872.1,17360,223872.1,-58.74
251188.6,16030,251188.6,-60.11
281838.2,14780,281838.2,-61.44
316227.7,13600,316227.7,-62.72
354813.3,12500,354813.3,-63.96
398107.1,11460,398107.1,-65.15
446683.5,10465,446683.5,-66.29
501187.2,9572,501187.2,-67.39
562341.3,8745,562341.3,-68.44
630957.3,7977,630957.3,-69.44
707945.7,7267,707945.7,-70.4
794328.2,6613,794328.2,-71.31
891250.9,6012,891250.9,-72.17
1000000,5459,1000000,-72.97
1122018,4954,1122018,-73.73
1258925,4492,1258925,-74.45
1412537,4069,1412537,-75.12
1584893,3684,1584893,-75.74
1778279,3333,1778279,-76.31
1995262,3015,1995262,-76.83
2238721,2726,2238721,-77.32
2511886,2464,2511886,-77.76
2818382,2228,2818382,-78.16
3162277,2014,3162277,-78.52
3548133,1821,3548133,-78.85
3981071,1648,3981071,-79.14
4466835,1492,4466835,-79.4
5011872,1352,5011872,-79.64
5623413,1227,5623413,-79.87
6309573,1115,6309573,-80.11
7079457,1012.7,7079457,-80.24
7943282,923.9,7943282,-80.48
8912509,844.1,8912509,-80.82
10000000,771.8,10000000,-81.28
