F (Hz),|Z| (Ohms),F (Hz),Theta (Deg)
1000,61400,1000,-4.57
1122.018,61060,1122.018,-4.7
1258.925,60770,1258.925,-4.84
1412.537,60460,1412.537,-5.03
1584.893,60210,1584.893,-5.18
1778.279,59950,1778.279,-5.45
1995.262,59560,1995.262,-5.65
2238.721,59230,2238.721,-5.94
2511.886,58820,2511.886,-6.25
2818.382,58430,2818.382,-6.59
3162.277,58060,3162.277,-6.97
3548.133,57660,3548.133,-7.36
3981.071,57150,3981.071,-7.8
4466.835,56670,4466.835,-8.28
5011.872,56200,5011.872,-8.83
5623.413,55730,5623.413,-9.42
6309.573,55160,6309.573,-10.03
7079.457,54640,7079.457,-10.72
7943.282,54000,7943.282,-11.45
8912.509,53340,8912.509,-12.26
10000,52670,10000,-13.11
11220.18,51960,11220.18,-14.04
12589.25,51220,12589.25,-15.04
14125.37,50440,14125.37,-16.13
15848.93,49560,15848.93,-17.29
17782.79,48600,17782.79,-18.47
19952.62,47630,19952.62,-19.78
22387.21,46600,22387.21,-21.17
25118.86,45500,25118.86,-22.62
28183.82,44330,28183.82,-24.17
31622.77,43100,31622.77,-25.78
35481.33,41100,35481.33,-27.31
39810.71,39730,39810.71,-29
44668.35,38310,44668.35,-30.81
50118.72,36790,50118.72,-32.63
56234.13,35260,56234.13,-34.51
63095.73,33730,63095.73,-36.44
70794.57,32160,70794.57,-38.41
79432.82,30570,79432.82,-40.34
89125.09,28970,89125.09,-42.34
100000,27360,100000,-44.32
112201.8,25760,112201.8,-46.26
125892.5,24170,125892.5,-48.17
141253.7,22600,141253.7,-50.04
158489.3,21090,158489.3,-51.87
177827.9,19590,177827.9,-53.62
199526.2,18160,199526.2,-55.25
223872.1,16740,223872.1,-56.48
251188.6,15400,251188.6,-57.78
281838.2,14210,281838.2,-59.29
316227.7,13090,316227.7,-60.75
354813.3,12030,354813.3,-62.14
398107.1,11040,398107.1,-63.46
446683.5,10078,446683.5,-64.7
501187.2,9222,501187.2,-65.91
562341.3,8425,562341.3,-67.08
630957.3,7688,630957.3,-68.16
707945.7,7004,707945.7,-69.2
794328.2,6376,794328.2,-70.14
891250.9,5798,891250.9,-71.05
1000000,5267,1000000,-71.89
1122018,4782,1122018,-72.66
1258925,4333,1258925,-73.25
1412537,3925,1412537,-73.88
1584893,3554,1584893,-74.47
1778279,3215,1778279,-74.96
1995262,2906,1995262,-75.39
2238721,2628,2238721,-75.86
2511886,2379,2511886,-76.28
2818382,2153,2818382,-76.65
3162277,1949,3162277,-76.98
3548133,1766,3548133,-77.27
3981071,1601,3981071,-77.54
4466835,1452,4466835,-77.77
5011872,1319,5011872,-77.98
5623413,1199,5623413,-78.15
6309573,1089.2,6309573,-78.25
7079457,994.2,7079457,-78.42
7943282,909.7,7943282,-78.67
8912509,833.8,8912509,-79
10000000,765.5,10000000,-79.52
