F (Hz),|Z| (Ohms),F (Hz),Theta (Deg)
1000,74600,1000,-7.02
1122.018,73940,1122.018,-7.29
1258.925,73260,1258.925,-7.6
1412.537,72560,1412.537,-7.9
1584.893,71820,1584.893,-8.26
1778.279,71080,1778.279,-8.63
1995.262,70270,1995.262,-8.99
2238.721,69440,2238.721,-9.42
2511.886,68650,2511.886,-9.86
2818.382,67830,2818.382,-10.32
3162.277,66980,3162.277,-10.81
3548.133,66120,3548.133,-11.33
3981.071,65230,3981.071,-11.88
4466.835,64320,4466.835,-12.46
5011.872,63380,5011.872,-13.07
5623.413,62410,5623.413,-13.72
6309.573,61410,6309.573,-14.4
7079.457,60390,7079.457,-15.12
7943.282,59350,7943.282,-15.9
8912.509,58280,8912.509,-16.73
10000,57180,10000,-17.61
11220.18,56050,11220.18,-18.55
12589.25,54880,12589.25,-19.55
14125.37,53670,14125.37,-20.6
15848.93,52430,15848.93,-21.72
17782.79,51140,17782.79,-22.9
19952.62,49810,19952.62,-24.15
22387.21,48440,22387.21,-25.46
25118.86,46980,25118.86,-26.79
28183.82,45510,28183.82,-28.22
31622.77,43990,31622.77,-29.71
35481.33,42430,35481.33,-31.25
39810.71,40810,39810.71,-32.82
44668.35,39170,44668.35,-34.46
50118.72,37500,50118.72,-36.12
56234.13,35800,56234.13,-37.8
63095.73,34090,63095.73,-39.52
70794.57,32380,70794.57,-41.24
79432.82,30660,79432.82,-42.97
89125.09,28960,89125.09,-44.7
100000,27290,100000,-46.4
112201.8,25640,112201.8,-48.09
125892.5,24020,125892.5,-49.76
141253.7,22460,141253.7,-51.4
158489.3,20940,158489.3,-53
177827.9,19490,177827.9,-54.56
199526.2,18090,199526.2,-56.08
223872.1,16760,223872.1,-57.56
251188.6,15500,251188.6,-59
281838.2,14310,281838.2,-60.38
316227.7,13180,316227.7,-61.73
354813.3,12120,354813.3,-63.03
398107.1,11130,398107.1,-64.28
446683.5,10166,446683.5,-65.46
501187.2,9305,501187.2,-66.61
562341.3,8503,562341.3,-67.71
630957.3,7760,630957.3,-68.76
707945.7,7073,707945.7,-69.76
794328.2,6439,794328.2,-70.7
891250.9,5855,891250.9,-71.59
1000000,5319,1000000,-72.43
1122018,4830,1122018,-73.2
1258925,4381,1258925,-73.93
1412537,3969,1412537,-74.61
1584893,3595,1584893,-75.24
1778279,3252,1778279,-75.82
1995262,2942,1995262,-76.35
2238721,2662,2238721,-76.84
2511886,2407,2511886,-77.29
2818382,2177,2818382,-77.68
3162277,1969,3162277,-78.05
3548133,1782,3548133,-78.37
3981071,1613,3981071,-78.66
4466835,1461,4466835,-78.91
5011872,1325,5011872,-79.15
5623413,1204,5623413,-79.38
6309573,1092.5,6309573,-79.52
7079457,995.7,7079457,-79.73
7943282,909.2,7943282,-79.98
8912509,831.8,8912509,-80.31
10000000,761.7,10000000,-80.78
